SourceGENES,TargetGENES,Interaction,Edges
g50,g1,0.145352347212609,activation
g45,g44,0.144773370312489,activation
g61,g11,0.144251244727906,repression
g19,g1,0.143690214429352,repression
g9,g63,0.143654011176725,activation
g56,g16,0.142848638099124,repression
g50,g23,0.142806610236084,repression
g54,g44,0.142702021374058,repression
g22,g18,0.141805564337311,activation
g9,g27,0.140849704433934,activation
g2,g53,0.140762100189122,activation
g50,g28,0.140598064693554,repression
g6,g52,0.140160250777534,repression
g1,g53,0.140049281143976,activation
g27,g24,0.138899324716047,activation
g50,g36,0.138734756034312,activation
g56,g5,0.1385703689188,repression
g25,g44,0.1383299993146,activation
g39,g16,0.138143404466958,activation
g61,g44,0.137865333719239,repression
g27,g17,0.137695301831926,repression
g48,g20,0.1367349117214,activation
g58,g44,0.135933404378379,activation
g25,g60,0.135314748688455,repression
g53,g60,0.135048154066687,repression
g22,g12,0.134975764260768,activation
g15,g0,0.133641697131388,activation
g27,g44,0.133006617684058,activation
g1,g10,0.132571364160103,activation
g1,g28,0.13240383014799,activation
g2,g38,0.132090856294538,activation
g6,g38,0.131856234633119,activation
g19,g52,0.131268181062274,repression
g2,g37,0.131188750925643,activation
g15,g1,0.131075686740195,activation
g58,g28,0.130315680069376,repression
g46,g21,0.130035738168656,repression
g27,g28,0.129804309887102,repression
g9,g42,0.129738782336852,repression
g46,g46,0.129684840364393,activation
g27,g60,0.129672688932179,repression
g48,g5,0.129657896478885,activation
g39,g38,0.128739340961962,repression
g50,g29,0.128737957014866,activation
g26,g0,0.128518019186156,repression
g26,g44,0.128414461266079,activation
g48,g37,0.128272490961218,activation
g5,g42,0.12755312882873,activation
g15,g34,0.127335212335835,activation
g3,g44,0.127326823624994,activation
g6,g27,0.126925549318659,activation
g39,g32,0.126680642736861,activation
g48,g10,0.126649837704982,activation
g46,g18,0.125833640463361,activation
g45,g24,0.125815590058858,repression
g61,g35,0.125784190560768,repression
g48,g12,0.125508478879737,repression
g45,g64,0.125503559750301,repression
g45,g28,0.125297234612483,repression
g27,g58,0.124933759503819,activation
g15,g6,0.124653126642642,repression
g22,g62,0.124178495798262,repression
g5,g51,0.124115943528572,activation
g3,g24,0.123891541451523,activation
g39,g51,0.123390192140932,repression
g27,g38,0.123328568532394,activation
g48,g18,0.123317083387783,repression
g27,g25,0.123240383684631,activation
g53,g64,0.122955754015523,repression
g30,g60,0.122306556674621,activation
g27,g16,0.121975676334356,repression
g39,g1,0.120341620977461,repression
g19,g8,0.120322199226102,repression
g54,g26,0.119952114003075,repression
g15,g64,0.118653293300967,repression
g50,g53,0.118517810466408,activation
g26,g1,0.118327302441191,repression
g48,g51,0.117870507887847,repression
g3,g64,0.116513925931813,activation
g3,g28,0.116355264746628,activation
g50,g48,0.11605337255461,repression
g58,g42,0.115983620402514,activation
g53,g42,0.115599205958652,repression
g15,g36,0.115113064285286,repression
g5,g25,0.115097886704967,activation
g19,g64,0.115000834109276,repression
g31,g20,0.11462318597646,activation
g56,g24,0.114350466218024,activation
g46,g41,0.11340916278107,activation
g26,g28,0.112996172114392,repression
g15,g28,0.112734751320691,activation
g1,g49,0.112725791574132,activation
g50,g6,0.112371812292348,activation
g3,g5,0.111804880622055,activation
g9,g1,0.111564930688928,repression
g48,g14,0.110810183113206,activation
g19,g24,0.110360696513822,activation
g5,g26,0.110229233953795,activation
g19,g6,0.109995549607946,repression
g46,g17,0.109737588935447,repression
g2,g23,0.109731974112795,activation
g34,g49,0.109502377430071,activation
g48,g38,0.108810862750045,repression
g56,g64,0.107524390212557,activation
g54,g51,0.107446188731911,activation
g40,g31,0.107382010203797,repression
g19,g5,0.107273133901456,activation
g54,g52,0.107021232307662,repression
g2,g1,0.106777224727604,activation
g31,g16,0.106420128266215,repression
g54,g28,0.106247417964729,repression
g8,g42,0.105804112447446,repression
g22,g47,0.105699203825022,activation
g6,g37,0.105542753728531,activation
g5,g44,0.104787553052993,activation
g45,g27,0.104715584007751,repression
g46,g13,0.10456261856739,activation
g1,g20,0.104376314478936,activation
g19,g62,0.104069424144154,repression
g58,g64,0.103892916656954,activation
g40,g21,0.103844550238074,repression
g54,g60,0.103420768548137,repression
g5,g52,0.103135851978203,activation
g50,g15,0.103008212914246,activation
g45,g29,0.102923874085549,repression
g26,g30,0.102746676124881,repression
g1,g34,0.102704057243558,repression
g56,g8,0.102524817439718,activation
g22,g13,0.102419233679158,activation
g50,g64,0.102341575045419,activation
g6,g23,0.102291371660854,activation
g61,g4,0.102263184053678,repression
g8,g27,0.10106879526896,repression
g56,g28,0.10070599233389,activation
g39,g33,0.100583700032225,repression
g25,g34,0.100340207235181,activation
g53,g28,0.100250057296661,repression
g56,g1,0.100086462907056,activation
g53,g49,0.0999770507163689,repression
g9,g6,0.0997046522164155,repression
g45,g5,0.09962230230873,activation
g45,g1,0.0994094309245675,repression
g1,g51,0.0993739707738007,activation
g27,g29,0.0993685550413746,activation
g61,g37,0.0990718015967534,repression
g49,g49,0.0990417829810135,activation
g19,g29,0.0987538208015292,repression
g8,g8,0.0983217699046046,activation
g6,g10,0.0982960073374329,repression
g8,g52,0.0982492128241779,repression
g19,g37,0.098144582092208,activation
g3,g27,0.0981002589729945,repression
g48,g11,0.0979907122500555,activation
g58,g3,0.0978812856528065,repression
g16,g57,0.0975384645848229,activation
g48,g24,0.0975252349073168,activation
g26,g56,0.0972527954894462,repression
g15,g63,0.0971370931125249,repression
g58,g51,0.0965678262714856,activation
g48,g53,0.0959064954566755,repression
g53,g44,0.0958382631614876,activation
g31,g43,0.0956959754029551,activation
g48,g41,0.0951231291270298,repression
g58,g26,0.0944628573468355,activation
g27,g36,0.0943685121278085,repression
g27,g53,0.094304951962858,repression
g8,g16,0.094299876440377,repression
g16,g49,0.0941835483963828,activation
g8,g44,0.0935753958507912,activation
g2,g42,0.0934199105656081,activation
g61,g6,0.0930586533383569,repression
g54,g64,0.0929707015041953,repression
g45,g16,0.0929046293967828,repression
g48,g23,0.0928417150293932,activation
g8,g58,0.092702137181737,repression
g53,g34,0.0924736707123832,repression
g3,g29,0.0924722430406229,repression
g54,g33,0.0924610052332856,activation
g5,g28,0.0924180071867257,activation
g27,g32,0.0909954939919182,repression
g31,g7,0.0906367909641996,repression
g8,g54,0.0906354305178951,activation
g53,g33,0.0904840035012296,activation
g19,g2,0.0898558685249136,activation
g54,g46,0.0897359914822509,repression
g30,g0,0.0897076867223472,activation
g16,g53,0.089688512746808,repression
g19,g30,0.0893768975919764,activation
g61,g61,0.0892683044113191,activation
g48,g54,0.0891179165475163,activation
g58,g56,0.089057540092535,activation
g40,g22,0.0883745293944428,activation
g34,g17,0.0877469224903395,activation
g26,g2,0.0876918198639414,activation
g1,g18,0.0873160186028332,repression
g15,g61,0.0873074771835868,activation
g15,g51,0.0870228192945918,repression
g54,g35,0.0869206230575669,repression
g3,g1,0.0869004405520971,activation
g6,g51,0.0866568336399803,repression
