Timepoints (min),Intensity/pixel (AU),Normalized (AU)
0,,
5,169.30445590702877,0.7346814049563976
10,,
15,,
20,,
25,,
30,,
35,,
40,,
45,,
50,,
55,,
60,,
65,,
70,,
75,,
80,,
85,,
90,,
95,,
100,,
105,,
110,,
115,,
120,,
125,,
130,,
135,,
140,,
145,,
150,,
155,,
160,,
165,,
170,,
175,,
180,,
185,,
190,183.57481715472835,0.8430075982102169
195,169.35571433232195,0.7763764181292935
200,174.22544060315107,0.7991942104414349
205,167.86040121822035,0.7874007326269813
210,176.3833456656611,0.8076818609325849
215,178.78520619584728,0.82656048322081
220,,
225,177.73961366269057,0.8160249744744107
230,,
235,179.88241288296416,0.8278767415501448
240,188.14356802393033,0.8672478330383914
245,,
250,179.8940601231438,0.8256393830164819
255,181.66163161249204,0.8309242602192732
260,190.76978841776955,0.8787434173220049
265,184.21212641703883,0.8346229441640047
270,186.66503306846838,0.8556331901435001
275,183.95366675534274,0.8537411450049123
280,184.39790948105633,0.8694498993899474
285,183.01987564373354,0.8633672482635848
290,195.45982571581007,0.8890377420573828
295,188.04934317223484,0.8447078063353525
300,187.10970350404313,0.8428797628287599
305,187.82584749049724,0.8466429756710212
310,190.147260034904,0.8670964141174264
315,,
320,,
325,,
330,,
335,213.8485036119711,0.9698589668530727
340,217.3654270121797,0.9851956096449204
345,,
350,205.94187332563226,0.926562313283749
355,,
360,187.70504715241557,0.8407490993442001
365,207.9026831832518,0.9294450164278745
370,206.03865802814695,0.9066722761458089
375,205.72910210868415,0.9122695164898822
380,215.70140354881042,0.9614200960762993
385,204.68696759289642,0.8891210574496905
390,195.6853230297176,0.8532912861176267
395,198.9535496552903,0.8663425401654432
400,197.06107054492787,0.8573547330278857
405,207.3447919507399,0.8957699378639411
410,,
415,,
420,205.54406563029457,0.882731740368418
425,203.82066285128556,0.8764661876545978
430,201.94395060481324,0.8581347029130599
435,199.1994507838328,0.8507084956441037
440,200.73310523804537,0.8554233881893925
445,203.89874683678573,0.8791114008107818
450,208.2537989241664,0.8924000784373
455,207.21459604649147,0.8819898150064106
460,213.21397193109462,0.9055688094160934
465,204.66797448938402,0.8729225555319354
470,208.51314285714287,0.8934887148990781
475,206.59651143194202,0.8697570869227734
480,206.00385595068886,0.875249771778549
485,206.90049766480362,0.8624972665363492
490,213.1128132109131,0.9178525853046602
495,216.64690748898678,0.92514433875328
500,215.9809141135108,0.9299114152444495
505,,
510,243.70853858784892,1.0446461561292677
515,225.58674407752065,0.9764396664207534
520,246.62762329485835,1.0617090604395825
525,250.05420755278027,1.0766954981317056
530,253.61837741181898,1.1085606467399447
535,230.84081987970876,1.0002643451276116
540,248.84704609876175,1.045892019042028
545,230.62701748848687,0.9731366040178457
550,224.36895008605853,0.9472238043051078
555,242.34735537921472,1.0133085312131678
560,218.10272751822848,0.9378209772860614
565,245.71717203456402,1.0446187681601982
570,228.0304175465896,0.9877814165426623
575,224.95634288064997,0.9547739058307735
580,225.8412225749361,0.9738091854445692
585,244.8065976714101,1.0450599962170306
590,201.53734334534948,0.9332818877551428
595,209.08735242183982,0.9570565577722786
600,209.14364444444445,0.9724466038368577
605,204.44255159149083,0.9522472652401084
610,201.71134651472707,0.9430711632105603
615,199.13544295770183,0.9694413607889955
620,204.12943270300335,1.001935159638615
625,194.11078586177578,0.9716648491804329
630,194.0740025523912,1.0205494810330522
635,184.4553966565549,0.9734177416263643
640,191.15369040024407,1.0375533627602274
645,186.11429475015814,0.9909136956196197
