Gene1	Gene2	corVal	pValue
g21	g55	0.102129635524457	0.116868096743883
g55	g21	0.102129635524457	0.116868096743883
g26	g29	0.102123832686503	0.116888998305511
g29	g26	0.102123832686503	0.116888998305512
g52	g10	0.102046488155416	0.117167868442971
g10	g52	0.102046488155416	0.117167868442971
g42	g20	0.102011668657329	0.117293581429747
g20	g42	0.102011668657329	0.117293581429747
g47	g31	0.101798181084505	0.118066662421609
g31	g47	0.101798181084505	0.11806666242161
g8	g0	0.100979282883939	0.121068940195708
g0	g8	0.100979282883939	0.121068940195708
g49	g40	0.10067643617936	0.122194161688675
g40	g49	0.10067643617936	0.122194161688675
g56	g52	0.100238648285449	0.123835089299276
g52	g56	0.100238648285449	0.123835089299277
g23	g17	0.10020571331338	0.1239592247742
g17	g23	0.10020571331338	0.1239592247742
g18	g35	0.10019632140929	0.123994641551301
g35	g18	0.10019632140929	0.123994641551301
g13	g46	0.100109079606239	0.124324004555888
g46	g13	0.100109079606239	0.124324004555888
g64	g15	0.100050834343745	0.124544274468697
g15	g64	0.100050834343745	0.124544274468697
g48	g52	0.0999196916738982	0.125041332261817
g52	g48	0.0999196916738981	0.125041332261817
g14	g34	0.0997860903869756	0.125549287454535
g34	g14	0.0997860903869755	0.125549287454536
g36	g40	0.0997744558941666	0.125593597579703
g40	g36	0.0997744558941665	0.125593597579703
g41	g53	0.0997539339479144	0.125671785205685
g53	g41	0.0997539339479144	0.125671785205685
g50	g1	0.0991393208408346	0.128030939136106
g1	g50	0.0991393208408345	0.128030939136107
g0	g60	0.0989658850480436	0.128702813174953
g60	g0	0.0989658850480436	0.128702813174953
g28	g57	0.0989533355215458	0.128751534285008
g57	g28	0.0989533355215457	0.128751534285008
g47	g56	0.0985247133483255	0.130424140376054
g56	g47	0.0985247133483255	0.130424140376055
g56	g7	0.098297318947997	0.131318273182723
g7	g56	0.098297318947997	0.131318273182723
g5	g56	0.0979789711450768	0.132577965270795
g56	g5	0.0979789711450768	0.132577965270795
g18	g54	0.0975051165603106	0.134470186435905
g54	g18	0.0975051165603105	0.134470186435905
g8	g48	0.0971984083193391	0.135705965906367
g48	g8	0.0971984083193391	0.135705965906367
g39	g4	0.0961620065345852	0.139946337925094
g4	g39	0.0961620065345852	0.139946337925094
g30	g56	0.0960290679395187	0.140497497902826
g56	g30	0.0960290679395186	0.140497497902826
g62	g50	0.0960122262255593	0.140567441427806
g50	g62	0.0960122262255592	0.140567441427806
g45	g19	0.0959156234897222	0.140969146019166
g19	g45	0.0959156234897222	0.140969146019166
g41	g52	0.0955570664110999	0.142467809215075
g52	g41	0.0955570664110999	0.142467809215076
g2	g0	0.0955486195471231	0.142503260584065
g0	g2	0.0955486195471231	0.142503260584065
g15	g52	0.0955057248428348	0.142683392911981
g52	g15	0.0955057248428348	0.142683392911981
g53	g19	0.0952881043039981	0.143599946632622
g19	g53	0.0952881043039981	0.143599946632622
g32	g10	0.0950719357882291	0.144514820040314
g10	g32	0.0950719357882291	0.144514820040314
g39	g12	0.0946862476782313	0.146158152431043
g12	g39	0.0946862476782313	0.146158152431044
g42	g24	0.0946831932302447	0.146171223235744
g24	g42	0.0946831932302447	0.146171223235744
g26	g35	0.0946354769084243	0.146375529625907
g35	g26	0.0946354769084243	0.146375529625907
g14	g59	0.0943262407357229	0.147704848191725
g59	g14	0.0943262407357227	0.147704848191726
g43	g4	0.0942064610584787	0.148222202946622
g4	g43	0.0942064610584787	0.148222202946622
g3	g57	0.0939329436346089	0.149408739686432
g57	g3	0.0939329436346089	0.149408739686432
g32	g9	0.093856583649161	0.14974127688336
g9	g32	0.0938565836491609	0.149741276883361
g45	g0	0.093657228292208	0.150612085949496
g0	g45	0.0936572282922079	0.150612085949496
g41	g28	0.0934785778930077	0.151395707125518
g28	g41	0.0934785778930076	0.151395707125519
g4	g28	0.0934727561656254	0.151421295015597
g28	g4	0.0934727561656254	0.151421295015597
g13	g32	0.0933505163460903	0.151959324605701
g32	g13	0.0933505163460903	0.151959324605701
g1	g40	0.0929280143283839	0.153830077051391
g40	g1	0.0929280143283838	0.153830077051391
g17	g22	0.0929205412618502	0.153863322114191
g22	g17	0.0929205412618502	0.153863322114191
g52	g50	0.0927290648004859	0.154716985902686
g50	g52	0.0927290648004859	0.154716985902686
g36	g42	0.0920478431221309	0.157783084273201
g42	g36	0.0920478431221309	0.157783084273201
g59	g47	0.09204537696477	0.157794266640453
g47	g59	0.0920453769647699	0.157794266640453
g40	g55	0.0918201680817274	0.15881795411971
g55	g40	0.0918201680817273	0.15881795411971
g64	g31	0.0912471017155051	0.161445343062543
g31	g64	0.0912471017155051	0.161445343062543
g61	g28	0.0911352639591892	0.161961877449824
g28	g61	0.0911352639591891	0.161961877449824
g48	g17	0.0910324310552562	0.162437914823996
g17	g48	0.0910324310552562	0.162437914823996
g9	g27	0.0910063129383881	0.162558988516578
g27	g9	0.091006312938388	0.162558988516578
g58	g55	0.0909290897085929	0.162917361819569
g55	g58	0.0909290897085929	0.162917361819569
g44	g39	0.0907663053931054	0.163674741135348
g39	g44	0.0907663053931053	0.163674741135348
g49	g61	0.0907373919890578	0.163809540546724
g61	g49	0.0907373919890578	0.163809540546724
g42	g28	0.0904704128235462	0.165058174636449
g28	g42	0.0904704128235462	0.165058174636449
g3	g35	0.0904232732478158	0.165279379065992
g35	g3	0.0904232732478157	0.165279379065992
g52	g38	0.0901757797160064	0.166444391391424
g38	g52	0.0901757797160064	0.166444391391424
g28	g2	0.0899842928701953	0.167349967780851
g2	g28	0.0899842928701952	0.167349967780851
g17	g14	0.0897367711151472	0.168525986730749
g14	g17	0.0897367711151471	0.168525986730749
g37	g61	0.0896056408917327	0.16915150109249
g61	g37	0.0896056408917326	0.16915150109249
g27	g29	0.0895730375005169	0.169307293297409
g29	g27	0.0895730375005168	0.169307293297409
g42	g60	0.0895364203786878	0.169482392187853
g60	g42	0.0895364203786878	0.169482392187853
g10	g48	0.0895142231611202	0.16958860241195
g48	g10	0.0895142231611202	0.16958860241195
g40	g10	0.0890941854144392	0.171607775401221
g10	g40	0.0890941854144391	0.171607775401221
g52	g34	0.088966683644228	0.172224215429512
g34	g52	0.0889666836442279	0.172224215429512
g19	g54	0.0888554699731273	0.172763249147136
g54	g19	0.0888554699731272	0.172763249147136
g53	g24	0.0887447112660127	0.173301322505753
g24	g53	0.0887447112660127	0.173301322505753
g43	g16	0.0886413120808464	0.173804765102867
g16	g43	0.0886413120808464	0.173804765102867
g38	g32	0.0884293210118097	0.174840326276373
g32	g38	0.0884293210118097	0.174840326276373
g40	g34	0.0884263662441559	0.174854792368446
g34	g40	0.0884263662441559	0.174854792368446
g18	g61	0.0882004548062919	0.175963450463122
g61	g18	0.0882004548062919	0.175963450463123
g62	g34	0.0875442434369477	0.179213327230204
g34	g62	0.0875442434369477	0.179213327230204
g60	g41	0.0874708482224807	0.17957955525512
g41	g60	0.0874708482224807	0.17957955525512
g28	g0	0.0874692436289972	0.179587568038208
g0	g28	0.0874692436289971	0.179587568038208
g64	g61	0.0871478379929638	0.181197884997617
g61	g64	0.0871478379929638	0.181197884997617
g5	g43	0.0866909357744047	0.183505366070745
g43	g5	0.0866909357744046	0.183505366070745
g26	g23	0.0866877114749852	0.183521726162762
g23	g26	0.0866877114749852	0.183521726162762
g24	g39	0.0865660436332012	0.184139853513069
g39	g24	0.0865660436332011	0.184139853513069
g43	g24	0.0860826812174006	0.186610683287261
g24	g43	0.0860826812174006	0.186610683287261
g42	g11	0.0860485453929799	0.186786092885232
g11	g42	0.0860485453929799	0.186786092885232
g35	g6	0.0856974662100767	0.188597167866345
g6	g35	0.0856974662100766	0.188597167866345
g12	g31	0.0855667876279216	0.189274561511356
g31	g12	0.0855667876279215	0.189274561511357
g43	g40	0.0854563034348768	0.189848662985009
g40	g43	0.0854563034348768	0.18984866298501
g35	g12	0.0854221284247543	0.190026502120201
g12	g35	0.0854221284247542	0.190026502120202
g63	g64	0.0853091017586016	0.190615536120516
g64	g63	0.0853091017586015	0.190615536120517
g36	g41	0.0852708312030753	0.19081528398634
g41	g36	0.0852708312030751	0.190815283986342
g59	g22	0.0852425185925992	0.190963156231234
g22	g59	0.0852425185925989	0.190963156231236
g35	g11	0.0846501575343629	0.194076207085307
g11	g35	0.0846501575343628	0.194076207085307
g4	g61	0.0843706722345661	0.195557777849902
g61	g4	0.0843706722345661	0.195557777849902
g9	g59	0.0841526865360754	0.196719040740139
g59	g9	0.0841526865360753	0.196719040740139
g13	g45	0.0837595690659403	0.198825942405084
g45	g13	0.0837595690659403	0.198825942405084
g15	g38	0.0837264082404926	0.199004413580125
g38	g15	0.0837264082404925	0.199004413580125
g39	g56	0.0836674337112533	0.199322101180804
g56	g39	0.0836674337112532	0.199322101180805
g0	g3	0.0833823342021066	0.200863085598405
g3	g0	0.0833823342021066	0.200863085598405
g28	g29	0.0831918989797334	0.201897202713857
g29	g28	0.0831918989797334	0.201897202713857
g47	g55	0.0830976403093032	0.20241047841172
g55	g47	0.0830976403093031	0.20241047841172
g53	g46	0.0830793040308476	0.202510436365397
g46	g53	0.0830793040308475	0.202510436365398
g0	g29	0.0828864779032654	0.203563768741007
g29	g0	0.0828864779032654	0.203563768741008
g15	g0	0.0827626612937111	0.204242215492065
g0	g15	0.0827626612937111	0.204242215492065
g60	g27	0.0826990724718371	0.204591281781547
g27	g60	0.0826990724718371	0.204591281781547
g22	g6	0.0826931551512081	0.204623786402338
g6	g22	0.0826931551512081	0.204623786402338
g40	g22	0.0826506967913507	0.204857125217764
g22	g40	0.0826506967913506	0.204857125217764
g2	g4	0.0825556435303464	0.205380207142771
g4	g2	0.0825556435303463	0.205380207142771
g63	g7	0.082333638589562	0.206605664853789
g7	g63	0.082333638589562	0.206605664853789
g52	g16	0.082235717752585	0.207147856759271
g16	g52	0.082235717752585	0.207147856759271
g61	g17	0.0822090574529496	0.207295653518383
g17	g61	0.0822090574529495	0.207295653518383
g56	g14	0.0820617183368903	0.208113828849428
g14	g56	0.0820617183368902	0.208113828849429
g13	g36	0.0817988922430794	0.209579075807171
g36	g13	0.0817988922430793	0.209579075807171
g30	g53	0.08133506608195	0.212182971892246
g53	g30	0.0813350660819499	0.212182971892247
g44	g25	0.0807346495025016	0.215588058977118
g25	g44	0.0807346495025015	0.215588058977118
g19	g8	0.0807024135429665	0.215771975688526
g8	g19	0.0807024135429665	0.215771975688526
g32	g57	0.08050491567413	0.21690121707642
g57	g32	0.0805049156741299	0.216901217076421
g16	g6	0.0801787931890172	0.218775137297395
g6	g16	0.0801787931890172	0.218775137297396
g22	g53	0.0801752557389124	0.218795526854741
g53	g22	0.0801752557389124	0.218795526854741
g49	g51	0.0801371604000354	0.21901519105106
g51	g49	0.0801371604000353	0.21901519105106
g32	g17	0.0801274392434033	0.21907127008431
g17	g32	0.0801274392434033	0.21907127008431
g14	g13	0.0800479797488061	0.219530037104347
g13	g14	0.0800479797488061	0.219530037104347
g5	g13	0.0799869610750768	0.219882799104255
g13	g5	0.0799869610750768	0.219882799104255
g64	g20	0.0796564038181031	0.221800847146106
g20	g64	0.0796564038181031	0.221800847146106
g62	g36	0.079320836596501	0.223760116113283
g36	g62	0.079320836596501	0.223760116113283
g3	g50	0.0792365320366262	0.224254270286671
g50	g3	0.0792365320366262	0.224254270286671
g38	g11	0.079213414915069	0.224389907420711
g11	g38	0.079213414915069	0.224389907420711
g36	g12	0.0787067353924831	0.227377436408269
g12	g36	0.0787067353924831	0.227377436408269
g44	g57	0.0785449810731254	0.228337092480907
g57	g44	0.0785449810731253	0.228337092480907
g27	g58	0.0784891391880193	0.22866905584042
g58	g27	0.0784891391880193	0.22866905584042
g5	g18	0.0784258742605565	0.229045559335187
g18	g5	0.0784258742605565	0.229045559335187
g51	g32	0.0782805034203043	0.22991235373036
g32	g51	0.0782805034203042	0.22991235373036
g48	g54	0.0779951751119232	0.231620398858819
g54	g48	0.0779951751119231	0.23162039885882
g24	g1	0.0777314011392361	0.233207361387409
g1	g24	0.077731401139236	0.233207361387409
g60	g7	0.0768946707428477	0.238292088077351
g7	g60	0.0768946707428476	0.238292088077351
g14	g50	0.0765614547480082	0.240338501011037
g50	g14	0.076561454748008	0.240338501011037
g56	g6	0.0764175694841371	0.241225950801299
g6	g56	0.076417569484137	0.241225950801299
g5	g25	0.0763922351746051	0.241382443789088
g25	g5	0.076392235174605	0.241382443789089
g48	g40	0.0763746220847302	0.241491283739365
g40	g48	0.0763746220847301	0.241491283739366
g0	g54	0.0763675132914998	0.241535222192108
g54	g0	0.0763675132914997	0.241535222192109
g12	g38	0.0763026613735753	0.241936320961871
g38	g12	0.0763026613735753	0.241936320961871
g35	g33	0.0761731819756684	0.242738522802674
g33	g35	0.0761731819756682	0.242738522802675
g33	g3	0.076073380791693	0.243358117310701
g3	g33	0.076073380791693	0.243358117310701
g17	g11	0.0758862442264685	0.244522889715558
g11	g17	0.0758862442264684	0.244522889715558
g51	g50	0.0751436356521474	0.249183329088971
g50	g51	0.0751436356521474	0.249183329088971
g52	g5	0.0750843061924646	0.249558310557424
g5	g52	0.0750843061924646	0.249558310557424
g19	g20	0.0750322718272557	0.249887507006912
g20	g19	0.0750322718272557	0.249887507006912
g52	g49	0.0749175883344038	0.25061411833373
g49	g52	0.0749175883344038	0.25061411833373
g11	g9	0.0746781082730978	0.252136137517877
g9	g11	0.0746781082730975	0.252136137517878
g30	g15	0.0745372869737852	0.253034113088413
g15	g30	0.0745372869737852	0.253034113088414
g32	g40	0.0742321795403603	0.254987279321244
g40	g32	0.0742321795403602	0.254987279321245
g3	g27	0.0740043240888445	0.256452689195012
