Ensembl_id,gene_name
ENSDARG00000004843,foxp1a
ENSDARG00000114365,dmrt2b
ENSDARG00000099172,BX000701.1
ENSDARG00000013615,pbx3b
ENSDARG00000020046,ahr1a
ENSDARG00000104251,prdm10
ENSDARG00000090942,CABZ01054394.1
ENSDARG00000113436,mta3
ENSDARG00000031756,mef2aa
ENSDARG00000021916,vax1
ENSDARG00000012667,tfap2b
ENSDARG00000103176,nr5a1a
ENSDARG00000092246,si:dkey-20i20
ENSDARG00000042525,ebf2
ENSDARG00000099837,si:dkey-199m13
ENSDARG00000089230,si:ch211-253b8
ENSDARG00000112523,foxn2b
ENSDARG00000037588,bhlhe23
ENSDARG00000088847,znf1089
ENSDARG00000010207,smad3b
ENSDARG00000087166,figla
ENSDARG00000087168,si:ch211-162i8
ENSDARG00000077092,elk4
ENSDARG00000108987,si:dkey-7i4
ENSDARG00000004060,bhlhe40
ENSDARG00000094427,si:dkey-253d23
ENSDARG00000101425,si:dkey-1b17
ENSDARG00000024619,foxo6b
ENSDARG00000005883,rfx1a
ENSDARG00000027978,yy1b
ENSDARG00000042029,mbd3b
ENSDARG00000110787,znf993
ENSDARG00000087303,cebpd
ENSDARG00000113627,BX001025.1
ENSDARG00000035127,rxrab
ENSDARG00000105498,TSC22D3
ENSDARG00000074298,si:ch73-266f23
ENSDARG00000109865,AL929458.1
ENSDARG00000055751,fosb
ENSDARG00000113178,nr2e3
ENSDARG00000112923,CABZ01088036.1
ENSDARG00000104013,CABZ01024856.1
ENSDARG00000000567,znf281a
ENSDARG00000020606,nfe2
ENSDARG00000091514,CT737190.1
ENSDARG00000074752,hlfa
ENSDARG00000077915,lmx1al
ENSDARG00000075952,mbd2
ENSDARG00000007823,atf3
ENSDARG00000105816,BX855614.4
ENSDARG00000062892,foxe3
ENSDARG00000007329,tbx16
ENSDARG00000100167,CSDC2
ENSDARG00000113837,LO018029.2
ENSDARG00000114681,BX321879.1
ENSDARG00000063701,rreb1a
ENSDARG00000102658,BX470259.2
ENSDARG00000111731,znf972
ENSDARG00000053165,zgc:113886
ENSDARG00000056407,irf8
ENSDARG00000077785,atf5b
ENSDARG00000100959,si:dkey-3p4
ENSDARG00000007277,myf5
ENSDARG00000098021,si:dkey-111k8
ENSDARG00000031138,irx3b
ENSDARG00000059274,hoxd9a
ENSDARG00000003398,rbpja
ENSDARG00000116216,znf1046
ENSDARG00000070098,lcorl
ENSDARG00000053499,isl2b
ENSDARG00000009438,myog
ENSDARG00000087046,si:ch211-222k6
ENSDARG00000071055,ZNF512B
ENSDARG00000089787,crebzf
ENSDARG00000002707,her11
ENSDARG00000020759,elf1
ENSDARG00000069266,esrra
ENSDARG00000058133,foxd2
ENSDARG00000055752,npas4a
ENSDARG00000103853,znf1183
ENSDARG00000061368,klf13
ENSDARG00000101842,znf1086
ENSDARG00000070864,bcl6a
ENSDARG00000068400,znf131
ENSDARG00000042004,nfya
ENSDARG00000058566,si:dkey-253d23
ENSDARG00000003200,foxm1
ENSDARG00000110710,CU210890.1
ENSDARG00000079020,gcfc2
ENSDARG00000019930,tal1
ENSDARG00000116327,BX928740.2
ENSDARG00000105144,znf1130
ENSDARG00000105831,znf1009
ENSDARG00000103172,BX914205.3
ENSDARG00000057741,nr1h4
ENSDARG00000001859,dbx1b
ENSDARG00000097088,si:dkey-60d5
ENSDARG00000044525,pparda
ENSDARG00000008796,her5
ENSDARG00000114069,tlx3b
ENSDARG00000101960,si:dkeyp-44d3
ENSDARG00000058710,terf1
ENSDARG00000076763,sp2
ENSDARG00000030350,mnx2b
ENSDARG00000079382,hdx
ENSDARG00000116206,meox2b
ENSDARG00000073708,zgc:171551
ENSDARG00000070389,foxf2b
ENSDARG00000096716,hmx3b
ENSDARG00000028517,hbp1
ENSDARG00000102480,BX005417.2
ENSDARG00000031891,tbx1
ENSDARG00000092979,pias2
ENSDARG00000053695,zgc:162948
ENSDARG00000093831,znf1121
ENSDARG00000070428,si:dkey-239n17
ENSDARG00000014680,znf710a
ENSDARG00000021336,pax4
ENSDARG00000103046,rest
ENSDARG00000015876,npas1
ENSDARG00000105038,CABZ01038376.1
ENSDARG00000079575,aff3
ENSDARG00000009594,nr1d2b
ENSDARG00000102761,zbtb42
ENSDARG00000098087,si:dkey-30f3
ENSDARG00000011235,otx2b
ENSDARG00000036055,thap11
ENSDARG00000041702,rfx6
ENSDARG00000008133,foxl1
ENSDARG00000112126,znf995
ENSDARG00000008203,pax1a
ENSDARG00000097819,znf576
ENSDARG00000104078,zgc:113336
ENSDARG00000002445,prdm1a
ENSDARG00000045527,nr2c1
ENSDARG00000077823,hmgxb3
ENSDARG00000074820,si:dkey-253d23
ENSDARG00000075774,foxj3
ENSDARG00000074146,zgc:113452
ENSDARG00000104613,znf1179
ENSDARG00000088616,si:ch211-197e7
ENSDARG00000070536,creb5b
ENSDARG00000015399,foxf1
ENSDARG00000111209,BX530074.1
ENSDARG00000096012,BX649479.1
ENSDARG00000110530,alx1
ENSDARG00000116570,FO834825.3
ENSDARG00000117096,znf1138
ENSDARG00000038141,atf4b
ENSDARG00000086494,znf970
ENSDARG00000102436,si:ch211-194b1
ENSDARG00000109327,znf1140
ENSDARG00000111659,BX322657
ENSDARG00000101203,znf513b
ENSDARG00000034086,zgc:65895
ENSDARG00000000760,znf511
ENSDARG00000113808,si:dkeyp-82b4
ENSDARG00000094216,si:ch1073-186o8
ENSDARG00000095667,znf1175
ENSDARG00000098036,si:ch211-69l10
ENSDARG00000013441,hey2
ENSDARG00000099373,zgc:158320
ENSDARG00000012887,znf143a
ENSDARG00000039116,nr5a5
ENSDARG00000021086,znf367
ENSDARG00000031763,smad6b
ENSDARG00000007407,barx1
ENSDARG00000035150,si:dkey-261j4
ENSDARG00000105806,CABZ01069020.1
ENSDARG00000095497,si:dkeyp-2e4
ENSDARG00000002601,irx7
ENSDARG00000074758,csde1
ENSDARG00000104651,msx2a
ENSDARG00000101549,nkx2.2b
ENSDARG00000094177,si:ch211-208f21
ENSDARG00000100468,znf1182
ENSDARG00000001940,dnajc1
ENSDARG00000096041,si:ch211-162i8
ENSDARG00000095125,ftr97
ENSDARG00000028086,zbtb2b
ENSDARG00000053829,pax9
ENSDARG00000055395,foxq1b
ENSDARG00000110372,BX324212.2
ENSDARG00000102138,foxa1
ENSDARG00000096226,znf1072
ENSDARG00000114231,nfya
ENSDARG00000069796,znf1124
ENSDARG00000004473,tbx21
ENSDARG00000109320,FO904859.1
ENSDARG00000102588,sp100
ENSDARG00000091896,znf1172
ENSDARG00000112940,CT573263.1
ENSDARG00000104823,znf648
ENSDARG00000040884,mxi1
ENSDARG00000115866,CR318627.1
ENSDARG00000080021,zmat3
ENSDARG00000091393,si:ch211-161m3
ENSDARG00000106749,si:dkey-7i4
ENSDARG00000103947,znf1028
ENSDARG00000077237,rfx7a
ENSDARG00000005915,tcf3a
ENSDARG00000003411,foxa2
ENSDARG00000093469,znf653
ENSDARG00000008818,hsf1
ENSDARG00000114447,arid3c
ENSDARG00000096851,znf1143
ENSDARG00000101056,BX890539.1
ENSDARG00000113729,AL974314.3
ENSDARG00000007630,mkrn2
ENSDARG00000092596,si:dkeyp-44d3
ENSDARG00000092060,tbx5b
ENSDARG00000088378,znf1000
ENSDARG00000054323,pparab
ENSDARG00000088347,sp1
ENSDARG00000089607,CU929037.1
ENSDARG00000097244,zgc:174263
ENSDARG00000035648,irx4a
ENSDARG00000112133,CR354373.2
ENSDARG00000073944,si:ch73-386h18
ENSDARG00000094017,znf1137
ENSDARG00000115171,AL928872.2
ENSDARG00000054025,hoxb8b
ENSDARG00000031777,pparaa
ENSDARG00000030999,mybl1
ENSDARG00000075450,mkxa
ENSDARG00000116703,dbpb
ENSDARG00000100568,si:ch211-209j12
ENSDARG00000100483,vent
ENSDARG00000055294,atoh1a
ENSDARG00000002031,tox4a
ENSDARG00000069111,IKZF2
ENSDARG00000020794,neurod6b
ENSDARG00000100821,scrt1a
ENSDARG00000111046,znf1116
ENSDARG00000035889,zbtb8b
ENSDARG00000078552,grhl3
ENSDARG00000036051,irx4b
ENSDARG00000099374,sp9
ENSDARG00000102714,si:dkey-13n23
ENSDARG00000003971,isl2a
ENSDARG00000016022,zic5
ENSDARG00000113294,znf1146
ENSDARG00000093220,znf1127
ENSDARG00000090871,si:dkey-210j14
ENSDARG00000114400,CR626923.3
ENSDARG00000107177,znf1108
ENSDARG00000096941,si:dkey-77f5
ENSDARG00000040503,sb:cb81
ENSDARG00000104887,znf1105
ENSDARG00000078138,si:ch211-202h22
ENSDARG00000094038,si:ch211-226f6
ENSDARG00000096428,si:dkey-217d24
ENSDARG00000052164,znf507
ENSDARG00000103936,zgc:173486
ENSDARG00000092583,si:dkey-16p19
ENSDARG00000095890,znf236
ENSDARG00000018757,klf5l
ENSDARG00000092080,znf1044
ENSDARG00000056725,hmgb3a
ENSDARG00000115643,BX248092.4
ENSDARG00000097839,si:ch211-235i11
ENSDARG00000007824,camta1b
ENSDARG00000018004,nkx2
ENSDARG00000015906,mxtx2
ENSDARG00000044098,egr2a
ENSDARG00000102774,znf687a
ENSDARG00000030267,gtf3aa
ENSDARG00000006640,eomesa
ENSDARG00000069763,etv5a
ENSDARG00000007009,hoxa11b
ENSDARG00000104985,zgc:110249
ENSDARG00000042904,foxo3b
ENSDARG00000040465,irf2
ENSDARG00000100196,znf1160
ENSDARG00000013477,gata1a
ENSDARG00000037196,arid5b
ENSDARG00000114182,mkxb
ENSDARG00000006350,nkx1.2la
ENSDARG00000060808,mecom
ENSDARG00000063014,dbpa
ENSDARG00000053260,zgc:113090
ENSDARG00000100127,znf1178
ENSDARG00000109821,si:dkey-156j15
ENSDARG00000116608,pitx1
ENSDARG00000039412,dmrta2
ENSDARG00000040487,zgc:113176
ENSDARG00000030583,foxk2
ENSDARG00000099284,si:dkey-228b2
ENSDARG00000104979,CR388055.1
ENSDARG00000056979,lhx9
ENSDARG00000051926,plag1
ENSDARG00000018000,ubp1
ENSDARG00000061011,hlfb
ENSDARG00000105058,CT027609.1
ENSDARG00000097281,zgc:174574
ENSDARG00000041323,csdc2a
ENSDARG00000093865,CR356223.1
ENSDARG00000094558,si:dkeyp-53e4
ENSDARG00000030012,lrrfip1a
ENSDARG00000015312,klf12a
ENSDARG00000021201,noto
ENSDARG00000006206,pou4f3
ENSDARG00000100847,esrrb
ENSDARG00000032705,foxg1b
ENSDARG00000070770,her4
ENSDARG00000109585,BX005041.1
ENSDARG00000098661,AL935300.3
ENSDARG00000030703,otx2a
ENSDARG00000089158,si:dkeyp-104f11
ENSDARG00000070069,pitx3
ENSDARG00000103057,zfhx3
ENSDARG00000016999,lin28a
ENSDARG00000088051,AL935044.1
ENSDARG00000105073,CU655961.2
ENSDARG00000070053,foxg1d
ENSDARG00000087093,si:ch211-157c3
ENSDARG00000019810,nfe2l3
ENSDARG00000079626,elf2b
ENSDARG00000105306,si:dkeyp-104f11
ENSDARG00000070677,fezf2
ENSDARG00000101134,CABZ01064859.2
ENSDARG00000070704,thap7
ENSDARG00000040261,runx2a
ENSDARG00000078476,znf990
ENSDARG00000095997,znf1112
ENSDARG00000042485,foxd5
ENSDARG00000104560,CT990561.2
ENSDARG00000003469,neurod4
ENSDARG00000105078,CABZ01002809.1
ENSDARG00000088214,si:dkey-23a23
ENSDARG00000102731,si:ch73-299h12
ENSDARG00000116135,tbx2b
ENSDARG00000068580,glis1a
ENSDARG00000078784,mgaa
ENSDARG00000098311,CU856344.1
ENSDARG00000113888,zbtb46
ENSDARG00000079972,nfatc2b
ENSDARG00000053364,pax10
ENSDARG00000043126,blf
