,linear_1-300-1-70-0.7,linear_1-300-2-70-0.7,linear_1-300-3-70-0.7,linear_1-300-4-70-0.7,linear_1-300-5-70-0.7,linear_1-300-6-70-0.7,linear_1-300-7-70-0.7,linear_1-300-8-70-0.7,linear_1-300-9-70-0.7,linear_1-300-10-70-0.7,linear_1-300-11-70-0.7,linear_1-300-12-70-0.7,linear_1-300-13-70-0.7,linear_1-300-14-70-0.7,linear_1-300-15-70-0.7,linear_1-300-16-70-0.7,linear_1-300-17-70-0.7,linear_1-300-18-70-0.7,linear_1-300-19-70-0.7,linear_1-300-20-70-0.7,linear_1-300-21-70-0.7,linear_1-300-22-70-0.7,linear_1-300-23-70-0.7,linear_1-300-24-70-0.7,linear_1-300-25-70-0.7,linear_1-300-26-70-0.7,linear_1-300-27-70-0.7,linear_1-300-28-70-0.7,linear_1-300-29-70-0.7,linear_1-300-30-70-0.7,linear_1-300-31-70-0.7,linear_1-300-32-70-0.7,linear_1-300-33-70-0.7,linear_1-300-34-70-0.7,linear_1-300-35-70-0.7,linear_1-300-36-70-0.7,linear_1-300-37-70-0.7,linear_1-300-38-70-0.7,linear_1-300-39-70-0.7,linear_1-300-40-70-0.7,linear_1-300-41-70-0.7,linear_1-300-42-70-0.7,linear_1-300-43-70-0.7,linear_1-300-44-70-0.7,linear_1-300-45-70-0.7,linear_1-300-46-70-0.7,linear_1-300-47-70-0.7,linear_1-300-48-70-0.7,linear_1-300-49-70-0.7,linear_1-300-50-70-0.7,linear_1-300-51-70-0.7,linear_1-300-52-70-0.7,linear_1-300-53-70-0.7,linear_1-300-54-70-0.7,linear_1-300-55-70-0.7,linear_1-300-56-70-0.7,linear_1-300-57-70-0.7,linear_1-300-58-70-0.7,linear_1-300-59-70-0.7,linear_1-300-60-70-0.7,linear_1-300-61-70-0.7,linear_1-300-62-70-0.7,linear_1-300-63-70-0.7,linear_1-300-64-70-0.7,linear_1-300-65-70-0.7,linear_1-300-66-70-0.7,linear_1-300-67-70-0.7,linear_1-300-68-70-0.7,linear_1-300-69-70-0.7,linear_1-300-70-70-0.7,linear_1-300-71-70-0.7,linear_1-300-72-70-0.7,linear_1-300-73-70-0.7,linear_1-300-74-70-0.7,linear_1-300-75-70-0.7,linear_1-300-76-70-0.7,linear_1-300-77-70-0.7,linear_1-300-78-70-0.7,linear_1-300-79-70-0.7,linear_1-300-80-70-0.7,linear_1-300-81-70-0.7,linear_1-300-82-70-0.7,linear_1-300-83-70-0.7,linear_1-300-84-70-0.7,linear_1-300-85-70-0.7,linear_1-300-86-70-0.7,linear_1-300-87-70-0.7,linear_1-300-88-70-0.7,linear_1-300-89-70-0.7,linear_1-300-90-70-0.7,linear_1-300-91-70-0.7,linear_1-300-92-70-0.7,linear_1-300-93-70-0.7,linear_1-300-94-70-0.7,linear_1-300-95-70-0.7,linear_1-300-96-70-0.7,linear_1-300-97-70-0.7,linear_1-300-98-70-0.7,linear_1-300-99-70-0.7,linear_1-300-100-70-0.7
SINCERITIES,0.023114484331257363,0.02739874061519875,0.03119965180763636,0.02464518634776581,0.025885212928128256,0.028529993254195318,0.02393531537724513,0.03457766423178673,0.025975506089880925,0.028556465507433938,0.02828407501927193,0.029937323636272085,0.02302731540036451,0.02795412418885208,0.026041105374087683,0.026562097758657848,0.027508989838399014,0.023195296546658115,0.026854479929891012,0.029584207057928705,0.024639176134572057,0.025190708650157687,0.02878099189976848,0.023729635790965535,0.025302451965036915,0.027657842644402048,0.02537718891317982,0.02925928725712568,0.028758878630479538,0.027127754819321233,0.02482190480518417,0.022809478228909025,0.02586191645020187,0.027660048465956696,0.027104293481500293,0.02349000839669341,0.028613596023555527,0.02851790647062192,0.02579285530927193,0.027001002074855795,0.029225821974326615,0.02407186889729988,0.025009828214373617,0.02359817819408085,0.02078465211003771,0.026238910603362028,0.021750074997176568,0.02744220874388697,0.02105922924002871,0.026839367508233677,0.02420600776661064,0.023621011121103583,0.0251825523856718,0.021103580996844205,0.021857632123155418,0.033920716961678365,0.02355420823247386,0.027720624164872067,0.025864369524131903,0.029718276840001015,0.02979521036847803,0.021944396366306698,0.022660256869387503,0.022957652772254672,0.025573182535784108,0.026115137739810765,0.032299852418003115,0.02649375641675209,0.025329385240893565,0.029986357390370835,0.029036217866073244,0.02441697438322924,0.023917804798505506,0.02733624541240161,0.025995215413566017,0.02554682754328492,0.027944160776457103,0.027061844758032246,0.03252292645274445,0.031484805726954744,0.029995763192655366,0.02457322169524742,0.029067653962511326,0.02775146814255802,0.022644868188668406,0.0254071474064418,0.028531565128949183,0.030531590058899296,0.026861886964862056,0.027258156675968894,0.02405224568575435,0.02539489027169538,0.021650225699816058,0.025021917961194517,0.027431369466694985,0.02790216577162512,0.03185634198165125,0.025528524319072366,0.029654575631981577,0.025076893664668302
PPCOR,0.02622310324504962,0.023487465533180853,0.02742763163225796,0.02193057935479151,0.030687311490885577,0.025802851730108642,0.022092781435161107,0.029889262167192218,0.023850157029821926,0.02164891844199532,0.029008227673025404,0.02077273570778927,0.021973808521195588,0.03740789450761794,0.02523632575337007,0.034571217970770216,0.031111850237947304,0.02675591873848683,0.031902494812189396,0.02740843852208404,0.03347426144996828,0.029477782257295634,0.032684541170742695,0.026250030402066513,0.022314763981749742,0.020942363382792012,0.034833102417812345,0.01851403530991623,0.025983117224052183,0.025246347880696688,0.021043427727238745,0.02783682339603935,0.04734935187329557,0.024917867937470563,0.021079382947949362,0.049378541575542514,0.03204277164700793,0.025102460895316973,0.03188691005190983,0.027040623793756848,0.03201416234583949,0.023909282566476755,0.02477507357687108,0.0388953679990045,0.022598146152230592,0.02408027815154861,0.021705100122421626,0.023920141513857948,0.025756501986486914,0.030139854398677432,0.032029188780208495,0.023756161557069683,0.030364346951605545,0.026715628896676055,0.022924532943903984,0.02267225019115688,0.022934989034897973,0.030407332451932036,0.025919691391430806,0.029185982416658898,0.0560479656285247,0.03325271294770798,0.018339642003663725,0.030849058560503306,0.033879819456980806,0.023959611769364147,0.018197036014282644,0.02268150340748177,0.024104230607765738,0.02920924455724246,0.0366495556655943,0.02822875044161055,0.029264993057610253,0.02387526504697947,0.023330571371501404,0.023073168096278462,0.02688381597909667,0.029653844307206686,0.02999665534367144,0.017478525278390392,0.028044045315840718,0.023195817526926905,0.027867266518547196,0.022901943927653892,0.022953868165947466,0.03152491493985975,0.04843339689497483,0.02196107225756194,0.02154871861476635,0.021120149864905787,0.02298724890284278,0.02285618828533127,0.02368385143020016,0.045584016426943395,0.02206313289421591,0.03868374074994999,0.023017580144599228,0.019643117259669975,0.023082157314351908,0.022168116555347936
GRNBOOST2,0.06378015042353732,0.0657491443685881,0.08556159486113797,0.07647666536119027,0.07031774386897162,0.08327564653913873,0.07557678383045634,0.07134396489559833,0.06611197360772474,0.07414945762371236,0.0797523537673237,0.07126257268816481,0.0833422611080759,0.06680159536509396,0.08151155689691682,0.06393372043459741,0.08127778053971178,0.07406219087412384,0.077894664212472,0.08522165501166569,0.07751408153706883,0.06730833844266482,0.07207765734659022,0.06648244341963998,0.07066893939268036,0.0711813060092533,0.06982959065606616,0.07190506224215701,0.07454147328490057,0.07571670734376518,0.06751795588608271,0.07269148336285702,0.07715549955652597,0.06977619080260784,0.07348580686864771,0.08697235760358413,0.07693298428420171,0.0665107782573277,0.07995316672832224,0.07404417466667279,0.06348242035861947,0.07762669488889368,0.06963263013743481,0.08043607923437221,0.07716205751715892,0.07953198155835103,0.07487388887493088,0.06651941675968245,0.06615774197849125,0.07467011421727088,0.0834722732924526,0.07727275604240813,0.0689247018784588,0.06534639136390698,0.07700961504203656,0.06872754827536419,0.0719571554477916,0.07387038024058357,0.06755019536156273,0.06291749899253768,0.06520114223786176,0.06980617232239646,0.06968246148909549,0.07724812518266778,0.07571783516298677,0.08140564112602793,0.06818307450752364,0.07988459941361609,0.10239776904994174,0.07691267852428245,0.07640066449119295,0.06849935976399073,0.0772377354319053,0.07240993360903022,0.0750834180282645,0.056361824542355186,0.07877743426703268,0.07462753360381641,0.07273355583157215,0.06833328155152482,0.06672989601616285,0.06395015825544255,0.07060785251772211,0.07309401303848648,0.0762372638896731,0.0938497383626253,0.06481390584949873,0.07458669320458297,0.06741649055299165,0.07345696686822163,0.0754235733550528,0.068748690398794,0.08512520395185909,0.056080657890794486,0.06969807447949694,0.08829314142633822,0.08014016450286038,0.06340806325648252,0.06105697210295768,0.0964984578454475
GENIE3,0.06629347183729367,0.06836613709649825,0.08657903293432966,0.0805474378596703,0.06637619502923367,0.08604804036852157,0.0687249438240496,0.07353928732438962,0.0722201822778912,0.07602030840614254,0.07635270358294702,0.07383007689981778,0.0782080181157355,0.07007557151001563,0.08612906775609644,0.0716868970103055,0.07773424426050912,0.07939208810151503,0.07443307207392054,0.08107444932782142,0.07840348676965637,0.07002910427090933,0.07670702663202734,0.06764569136227135,0.07270464575708216,0.06938961855301916,0.07624104112021339,0.06690253421976321,0.07259795247269721,0.07214102169056229,0.08066104049602546,0.07835564564619754,0.07481278500345293,0.07454264255127983,0.07731955419290867,0.08679003676617411,0.07917456826430674,0.07098140670038552,0.08555690501091881,0.07271716227970873,0.06625928403651855,0.08050613774323968,0.07504443322429796,0.07650860240177572,0.07512010113717846,0.08019475178966677,0.07977082606681911,0.06942011964607796,0.06201481631862317,0.07526925334616477,0.08309155573811053,0.07614987932975337,0.07786973403045103,0.054068267601972135,0.07888411196503456,0.07346150632915134,0.07191389134697194,0.07229590538049264,0.07126690370010863,0.06592010836112569,0.06770394996829003,0.08243112689764567,0.07282743996078861,0.07383722682788128,0.07020509433456268,0.07887139717233214,0.054090197639665986,0.07374583709630998,0.08846491704856499,0.0721914425980044,0.06795256842764341,0.07057002982113586,0.07998836456148728,0.07325116566096863,0.08501939270701375,0.06163260449168407,0.07229481404373153,0.08257514761392182,0.07834828564027371,0.08109245320816887,0.06827871645765449,0.06514771029172578,0.06800002975237485,0.07346302419627505,0.07558924812366816,0.08905885249760519,0.06913791478739463,0.07863716773834475,0.09301067429653018,0.09000321875537418,0.0805756162654636,0.06568905898586977,0.0845754436214197,0.06183432939811568,0.06842464628680064,0.080775452631295,0.06579181412266459,0.06559295531144277,0.05846322422937286,0.0870724255776941
PIDC,0.06307127915681768,0.06257424895798062,0.06883275109374211,0.07013042745801133,0.07087662242672436,0.07403561577617496,0.06925698968512811,0.06662988331167957,0.06349684806423009,0.06096588072818973,0.0696621260894484,0.06780820895598004,0.06708749566208443,0.06268690643791772,0.06459384338159439,0.07108192144689274,0.07004921044107294,0.06936061757002544,0.06769117234881025,0.05975993495649506,0.06372890993494376,0.06730895376881824,0.07470168259934017,0.06296193972016599,0.061271280845852254,0.0670996333092399,0.0687878788540653,0.06926271621064396,0.06881597388635181,0.07038382926424411,0.05996528521609283,0.06874365624053648,0.07159996767793612,0.06580895514153957,0.06083573353596672,0.06723829201591311,0.07643132028096147,0.07104729422041958,0.06513038757989734,0.07050792101338442,0.06630705331074721,0.06771285517801925,0.06715252456505266,0.07599689805831583,0.06971014614710895,0.06886489949078198,0.06776093143394583,0.06373119582279824,0.05899080389658735,0.062270925987607924,0.0678602309955844,0.07274425759090149,0.06556154861110429,0.05720831125879041,0.0673406146022639,0.06694086746196182,0.05723212719921648,0.07123803167109878,0.06645326302875451,0.06951080182470176,0.06652791585951189,0.07207188524003005,0.06915318706949906,0.07505148091545558,0.06826320463685454,0.06870754521521319,0.05658638725564933,0.06391926534168091,0.0749846360853302,0.06650125933469547,0.06196383819229138,0.07058457581556508,0.07133407965634585,0.06626949773015377,0.06733811348754323,0.06423016525526791,0.06874017350720447,0.07586175853015613,0.06655601140637842,0.07780384230248698,0.06449746633564259,0.057147669180759614,0.06754185298781151,0.06706993221816443,0.07048500498100986,0.07286711572917652,0.06938944717006372,0.05785100681806971,0.07240374152286531,0.06020539938622047,0.07126990785112203,0.05790438639389934,0.07059152833021895,0.06312449805454874,0.06692536252332594,0.08712590739490736,0.061570716384620486,0.05573680013116579,0.06538864190280379,0.07932889500773166
