,cluster,correlation,order,gene
ENSDARG00000020746,0,pos,0.5875000000000001,gfi1aa
ENSDARG00000097415,0,pos,0.037500000000000006,lrrc53
ENSDARG00000089109,0,pos,0.037500000000000006,bcl2b
ENSDARG00000075211,1,pos,0.21250000000000002,chd7
ENSDARG00000038898,0,pos,0.3875,zgc:113691
ENSDARG00000014209,0,pos,0.2625,odf3l2a
ENSDARG00000025855,0,pos,0.16250000000000003,camk2n1a
ENSDARG00000062693,0,pos,0.2625,nrxn3b
ENSDARG00000042936,0,pos,0.3875,fam228a
ENSDARG00000070425,0,pos,0.3875,dll4
ENSDARG00000017740,1,pos,0.16250000000000003,sec63
ENSDARG00000024204,1,pos,0.0125,mcm3
ENSDARG00000054137,1,neg,0.08750000000000001,adgrg6
ENSDARG00000091756,1,pos,0.08750000000000001,insm1a
ENSDARG00000024746,0,pos,0.2625,hsp90aa1.2
ENSDARG00000038432,0,pos,0.9625000000000001,actr10
ENSDARG00000016858,0,pos,0.7875000000000001,smad7
ENSDARG00000044807,1,pos,0.1125,dck
ENSDARG00000019231,0,pos,0.3875,sptan1
ENSDARG00000030932,0,pos,0.0125,fgf10a
ENSDARG00000016725,1,pos,0.1125,gadd45gb.1
ENSDARG00000054929,1,pos,0.08750000000000001,zgc:110540
ENSDARG00000001767,1,pos,0.08750000000000001,slc29a2
ENSDARG00000003845,0,pos,0.5375000000000001,chm
ENSDARG00000019702,0,pos,0.16250000000000003,aldocb
ENSDARG00000002587,0,pos,0.16250000000000003,dpysl3
ENSDARG00000053074,0,pos,0.3875,gipc3
ENSDARG00000103979,0,neg,0.7125000000000001,calr3a
ENSDARG00000101362,1,pos,0.08750000000000001,mibp
ENSDARG00000102798,1,pos,0.0125,mcm2
ENSDARG00000042925,0,neg,0.3875,mfng
ENSDARG00000071410,1,pos,0.1375,cks2
ENSDARG00000062152,1,pos,0.0125,chaf1a
ENSDARG00000097176,0,pos,0.3875,BX927308.2
ENSDARG00000060921,0,pos,0.2625,pla2g6
ENSDARG00000063285,1,pos,0.1125,ube2t
ENSDARG00000101120,0,pos,0.3875,kif3b
ENSDARG00000056732,1,pos,0.0125,her4.1
ENSDARG00000094426,1,pos,0.0125,her4.2
ENSDARG00000022456,0,pos,0.3875,eno1a
ENSDARG00000079388,1,neg,0.0125,agrn
ENSDARG00000036993,0,neg,0.4625,erbb3b
ENSDARG00000037153,0,neg,0.5125,atp6ap1b
ENSDARG00000055739,0,pos,0.3875,ribc1
ENSDARG00000093804,0,pos,0.3875,sst6
ENSDARG00000037020,0,neg,0.1875,kif1b
ENSDARG00000012397,0,pos,0.3875,eya4
ENSDARG00000078654,1,pos,0.1125,tpx2
ENSDARG00000055216,0,pos,0.3875,tuba1c
ENSDARG00000001889,0,pos,0.3875,tuba1a
ENSDARG00000010186,0,pos,0.2625,myo3a
ENSDARG00000031248,0,pos,0.3875,enkur
ENSDARG00000039729,0,pos,0.3875,asap1b
ENSDARG00000014259,0,neg,0.3875,eya1
ENSDARG00000074708,0,pos,0.3875,armc3
ENSDARG00000038428,0,neg,0.0625,sulf1
ENSDARG00000058147,0,pos,0.3875,dnajc5b
ENSDARG00000040041,1,pos,0.0125,mcm4
ENSDARG00000079110,0,pos,0.3875,cluap1
ENSDARG00000097691,1,pos,0.0125,pclaf
ENSDARG00000101455,0,pos,0.3875,si:ch211-284k5.2
ENSDARG00000099194,1,pos,0.1125,CABZ01058261.1
ENSDARG00000003705,0,pos,0.43750000000000006,prnprs3
ENSDARG00000006921,0,neg,0.5125,lrp5
ENSDARG00000103937,1,neg,0.0125,ndrg4
ENSDARG00000103747,0,neg,0.43750000000000006,cav1
ENSDARG00000102820,0,pos,0.3875,cib2
ENSDARG00000103002,0,pos,0.16250000000000003,nptna
ENSDARG00000062531,0,pos,0.4625,mapk8ip3
ENSDARG00000056027,0,pos,0.16250000000000003,hoxb8a
ENSDARG00000038066,1,pos,0.0125,kpna2
ENSDARG00000019507,1,pos,0.0125,mcm5
ENSDARG00000038024,0,pos,0.2625,flr
ENSDARG00000037879,0,neg,0.48750000000000004,lfng
ENSDARG00000101037,1,pos,0.1125,asf1ba
ENSDARG00000020363,0,pos,0.2625,snrnp25
ENSDARG00000036548,0,neg,0.4625,s1pr2
ENSDARG00000025428,0,neg,0.41250000000000003,socs3a
ENSDARG00000102123,0,pos,0.16250000000000003,phtf2
ENSDARG00000016691,1,pos,0.0125,cd9b
ENSDARG00000039392,1,pos,0.0125,wnk1b
ENSDARG00000045705,0,pos,0.3875,meig1
ENSDARG00000006747,0,pos,0.3875,tmem178b
ENSDARG00000045658,0,pos,0.08750000000000001,msrb3
ENSDARG00000012684,0,pos,0.3875,atp2b1a
ENSDARG00000017762,1,pos,0.08750000000000001,srrt
ENSDARG00000104431,1,pos,0.0125,slc1a3a
ENSDARG00000062579,0,neg,0.3875,kremen1
ENSDARG00000010591,1,pos,0.08750000000000001,foxn4
ENSDARG00000015524,0,neg,0.9625000000000001,prps1a
ENSDARG00000020621,0,pos,0.3875,ap1b1
ENSDARG00000092460,0,pos,0.08750000000000001,kifl
ENSDARG00000030311,0,pos,0.3875,tmc2b
ENSDARG00000021948,0,pos,0.3875,tnc
ENSDARG00000035508,0,pos,0.43750000000000006,barhl1a
ENSDARG00000029406,1,pos,0.08750000000000001,h2ax
ENSDARG00000004232,1,pos,0.08750000000000001,dlb
ENSDARG00000034424,0,pos,0.3875,atp1b2b
ENSDARG00000033614,1,pos,0.3875,rasgef1ba
ENSDARG00000103848,0,pos,0.3875,apba1a
ENSDARG00000051923,1,pos,0.1375,ccnb1
ENSDARG00000067537,0,pos,0.3875,pcsk5a
ENSDARG00000090830,0,neg,0.5375000000000001,tmem132e
ENSDARG00000059485,0,pos,0.3875,emb
ENSDARG00000102657,0,pos,0.2625,lman2la
ENSDARG00000005559,0,pos,0.3875,pou4f1
ENSDARG00000000943,0,pos,0.3875,dzip1
ENSDARG00000031664,0,neg,0.9625000000000001,sox21a
