,Label
0.0,0
0.003734,0
0.005161,0
0.006055,0
0.006875,0
0.00817,0
0.00918,0
0.009291,0
0.009446,0
0.012256,0
0.01265,0
0.012861,0
0.013185,0
0.01342,0
0.013424,0
0.013638,0
0.013992,0
0.014178,0
0.014768,0
0.015438,0
0.015455,0
0.015793,0
0.015891,0
0.016063,0
0.016678,0
0.016787,0
0.017148,0
0.017959,0
0.018342,0
0.018634,0
0.018799,0
0.019146,0
0.019268,0
0.019501,0
0.019881,0
0.020789,0
0.020828,0
0.021129,0
0.021155,0
0.021268,0
0.02133,0
0.021367,0
0.021827,0
0.021948,0
0.022172,0
0.022553,0
0.022859,0
0.023394,0
0.023635,0
0.024429,0
0.026148,0
0.026395,0
0.02751,0
0.029532,0
0.031367,0
0.031544,0
0.031589,0
0.032989,0
0.033109,0
0.033838,0
0.034051,0
0.034258,0
0.034268,0
0.034294,0
0.03474,0
0.034865,0
0.035398,0
0.035409,0
0.035457,0
0.035746,0
0.036002,0
0.036073,0
0.03625,0
0.037049,0
0.037269,0
0.037443,0
0.038244,0
0.038469,0
0.038477,0
0.039567,0
0.040958,0
0.040982,1
0.041136,0
0.042997,0
0.044127,0
0.044244,0
0.045918,0
0.046243,0
0.0485,0
0.048512,0
0.048757,0
0.049496,0
0.049793,0
0.051676,0
0.053614,0
0.054829,0
0.055127,2
0.05546,0
0.056637,0
0.056762,0
0.056865,0
0.057274,2
0.057612,0
0.058435,2
0.058924,0
0.059513,0
0.059662,0
0.0608,0
0.064242,0
0.064795,1
0.064893,0
0.064952,0
0.067783,2
0.069101,0
0.069953,0
0.070804,0
0.072329,0
0.073719,0
0.076788,0
0.08288,1
0.082941,1
0.083688,1
0.084824,0
0.085067,0
0.092712,2
0.096381,1
0.098682,0
0.101216,2
0.111275,1
0.112947,0
0.125123,1
0.130398,2
0.132916,2
0.14609,1
0.148738,2
0.152093,2
0.154802,2
0.171907,1
0.180134,1
0.193925,2
0.194531,2
0.202427,2
0.20569,2
0.209987,1
0.214202,2
0.216079,1
0.218772,2
0.224354,2
0.22586,1
0.233427,2
0.257478,1
0.268524,1
