Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Computational	MORF DEAF1	9/56	2.2198345840351406e-07	1.2530382059882572e-06	0	0	10.139702568724653	155.34696566687177	SF3A3;NUDC;DKC1;EIF3I;AK2;HNRNPR;ATP5G3;NPM3;LSM2
MSigDB_Computational	MODULE 15	21/358	3.056485138097668e-07	1.7140289205802609e-06	0	0	3.7008970269460555	55.51652730740243	YWHAE;PCNA;CBX3;PITPNB;RPA1;AK2;PRPF19;TYMS;PMF1;HSD17B10;LSM3;LMNB2;BYSL;PSMA4;CCND2;MSH2;RPA3;MCM3;SNRPB2;MCM6;MCM2
MSigDB_Computational	MORF RPA2	15/191	4.182367214668033e-07	2.3301760196007616e-06	0	0	4.954828480354105	72.77264725959009	DDX18;KHDRBS1;NONO;RPN1;RPA2;EIF2S2;ILF2;EIF3M;PSMA1;EIF3I;NUP62;TCEA1;THOP1;MCM2;CCT4
MSigDB_Computational	MORF PRKAG1	16/219	4.580973952648018e-07	2.5357907428206445e-06	0	0	4.609423389942815	67.27999203502314	DDX18;KHDRBS1;SSB;NONO;ACTL6A;RPA2;SARS;ILF2;PSMB6;DRAP1;EIF3I;PSMD3;CANX;NUP62;TCEA1;CCT4
MSigDB_Computational	GNF2 CENPF	9/62	5.468928523897128e-07	3.0079106881434207e-06	0	0	9.158441029815814	132.05567968248528	GINS2;RRM1;PCNA;RRM2;MCM7;HAT1;MCM3;TYMS;MCM2
MSigDB_Computational	GCM DDX5	9/65	8.266203636134469e-07	4.5174539616581985e-06	0	0	8.735743751516623	122.35213074306162	DDX18;KHDRBS1;SET;NCL;PCBP1;NONO;EIF4H;TCEA1;SF1
MSigDB_Computational	MODULE 61	8/50	1.0974267046679509e-06	5.959443750665203e-06	0	0	10.094637223974763	138.5240881072946	YWHAE;HSP90AA1;C1QBP;RPA3;RCC1;ATP5J;SLC25A5;BZW1
MSigDB_Computational	MORF BUB1	8/52	1.4965272305081315e-06	8.075599772175955e-06	0	0	9.70638194612958	130.18552112292627	NUDC;RFC3;RRM1;HAT1;SRSF1;USP1;MCM6;BAZ1B
MSigDB_Computational	MODULE 273	8/52	1.4965272305081315e-06	8.025127273599856e-06	0	0	9.70638194612958	130.18552112292627	BTF3;ATP5B;UQCRB;NDUFB5;UQCRC1;NDUFC1;YBX1;UQCRC2
MSigDB_Computational	GNF2 CKS1B	7/37	1.6098680459745659e-06	8.579296791591165e-06	0	0	11.936226447267456	159.22160182358454	RANBP1;RFC3;RPA3;MCM3;MCM6;CCT4;ASF1B
MSigDB_Computational	MODULE 429	5/14	1.7255824613777634e-06	9.139195999148897e-06	0	0	22.532672374943672	299.0073435264788	RPL5;RPL32;RPLP2;RPL27;RPS21
MSigDB_Computational	MORF GPX4	8/54	2.013001505043975e-06	1.0596044732071967e-05	0	0	9.346886318495152	122.59267357069487	PSMD8;PSMB4;GPX4;SSR4;CANX;CLTA;UBA1;DDOST
MSigDB_Computational	MODULE 307	6/25	2.0773103683720384e-06	1.0867879854043956e-05	0	0	15.141955835962145	198.12396103184741	UQCRB;COX4I1;UQCRC1;UQCRFS1;UQCRC2;COX7C
MSigDB_Computational	MODULE 150	5/15	2.55483106144092e-06	1.3285121519492779e-05	0	0	21.030494216614088	270.8207036227433	EEF1B2;EEF1G;RPLP0;RPLP2;TUFM
MSigDB_Computational	MODULE 371	6/26	2.6646743657533928e-06	1.3772834974797657e-05	0	0	14.559572919194373	186.8783600634251	KHDRBS1;RPA1;RPA2;UBA2;YBX1;HMGB1
MSigDB_Computational	GCM AIP	7/40	2.798850434041558e-06	1.4379722589267403e-05	0	0	11.041009463722396	141.17367900709093	DRAP1;DDX18;HDAC1;NONO;ILF2;LMNB2;SF1
MSigDB_Computational	GNF2 RFC3	7/41	3.3295774455831365e-06	1.7004627668513876e-05	0	0	10.771716549973073	135.86005399198703	GINS2;RANBP1;RFC3;RRM1;RPA3;MCM3;MCM6
MSigDB_Computational	GNF2 BUB3	6/28	4.245481816713496e-06	2.1553984607930054e-05	0	0	13.5196034249662	167.23283338176762	CCT3;PSMA5;PSMA3;RPA1;MCM3;KPNB1
MSigDB_Computational	MORF SNRP70	8/61	5.175052355236853e-06	2.6118793651724824e-05	0	0	8.274292806536693	100.7118878991367	PTBP1;UBE2I;HNRNPUL1;PSMA1;API5;NCL;RPL22;LSM14A
MSigDB_Computational	MORF PPP6C	10/103	5.571326041834385e-06	2.795437277130937e-05	0	0	6.125386665033231	74.10417729200911	VCP;PSMA3;PSMB4;PSMC5;PSMD7;HSBP1;COX4I1;BUD31;RAD23B;LSM3
MSigDB_Computational	MORF EIF4E	9/84	7.315127313221043e-06	3.649057694618405e-05	0	0	6.7598017124831005	79.93848210391293	EIF5B;DDX18;RUVBL1;PSMD3;NUP62;ACTL6A;ANP32E;ABCF1;CCT4
MSigDB_Computational	MODULE 126	13/183	7.496194261599021e-06	3.7177657089317683e-05	0	0	4.481908603540708	52.8915192890819	YWHAE;HSP90AA1;RFC3;DUT;RRM1;PCNA;ATP5J;BZW1;ILF2;C1QBP;RPA3;RCC1;SLC25A5
MSigDB_Computational	GNF2 HMMR	7/47	8.586138566740471e-06	4.233854534634094e-05	0	0	9.39660379891268	109.61477971307768	GINS2;RFC3;RRM1;PCNA;RRM2;TYMS;MCM2
MSigDB_Computational	MORF BUB1B	8/66	9.423981399895675e-06	4.620443452063138e-05	0	0	7.647452442405124	88.49825374057754	NUDC;RFC3;ACTL6A;ANP32E;MCM6;BAZ1B;MCM2;ABCF1
MSigDB_Computational	MODULE 72	17/311	1.0574528617916393e-05	5.155082701234241e-05	0	0	3.448730562853114	39.51232129099723	SLBP;PCNA;KDM1A;PSMD14;CBX3;TYMS;LSM3;SMARCA4;PSMA3;PSMA4;RBBP4;POLE3;SNRPB2;SNRPF;MCM6;LSM14A;MCM2
MSigDB_Computational	MORF GSPT1	7/49	1.1413742817154367e-05	5.5327634672985574e-05	0	0	9.013068949977468	102.57496546490488	NAA10;HSPA4;HAT1;G3BP1;NHP2;RAD23B;HNRNPAB
MSigDB_Computational	MODULE 363	7/49	1.1413742817154367e-05	5.501680526471038e-05	0	0	9.013068949977468	102.57496546490488	BTF3;ATP5B;UQCRB;NDUFB5;NDUFC1;YBX1;UQCRC2
MSigDB_Computational	MODULE 81	5/20	1.2358153044634767e-05	5.923628666087504e-05	0	0	15.772870662460567	178.2522799234423	EIF4A1;EIF3I;EIF4H;EIF3F;BZW1
MSigDB_Computational	MORF CDC16	8/73	2.0037138701835185e-05	9.551036114541438e-05	0	0	6.914135084914221	74.79658145311677	SLBP;DUT;DKC1;AK2;HNRNPR;BAZ1B;NPM3;TARDBP
MSigDB_Computational	MODULE 124	9/96	2.1821621656311457e-05	0.00010344172033765323	0	0	5.9148264984227135	63.481521651813644	KHDRBS1;SSB;HNRNPUL1;ACTL6A;RCC1;TFAM;TCEA1;KIF22;MAD2L1
MSigDB_Computational	MORF RAB5A	9/97	2.372311235886653e-05	0.00011183752969179934	0	0	5.853848905655469	62.33799279332721	PSMA3;PSMB4;PSMD7;HSBP1;COX4I1;BUD31;TMED2;UBA1;RAD23B
MSigDB_Computational	MODULE 53	19/405	2.7650432538265758e-05	0.000129639732884328	0	0	2.9598473341901315	31.06617043250317	RFC3;RRM1;PCNA;RRM2;RPA1;AK2;PRPF19;NPM3;TYMS;LMNB2;CCND2;MSH2;RPA3;HAT1;MCM3;RCC1;MCM6;MAD2L1;MCM2
MSigDB_Computational	MODULE 25	4/13	3.954786845691231e-05	0.00018441343008712368	0	0	19.41276389225916	196.80657626979374	NDUFB8;UQCRB;NDUFB5;NDUFC1
MSigDB_Computational	GNF2 CDC2	7/62	5.48025931871825e-05	0.00025416554029514905	0	0	7.123231912078966	69.89153486249253	GINS2;RFC3;RRM1;PCNA;RRM2;TYMS;MCM2
MSigDB_Computational	MODULE 219	5/27	5.8750115054555115e-05	0.0002710085952516574	0	0	11.68360789811894	113.8242487038967	ATP5B;RRM1;RRM2;AK2;TYMS
MSigDB_Computational	MORF RAF1	9/110	6.44079480381199e-05	0.0002955188204101972	0	0	5.162030398623458	49.815005243219815	KHDRBS1;UBE2I;NONO;NUP62;CANX;POLE3;EIF4H;ILF2;HNRNPAB
MSigDB_Computational	MORF RAB1A	12/194	6.555352259678484e-05	0.00029917511908532656	0	0	3.9025659371036463	37.592026837101976	PSMB6;KHDRBS1;PSMB4;KARS;COX4I1;CANX;NUP62;TMED2;UBA1;BZW1;ILF2;RAD23B
MSigDB_Computational	GCM MSN	5/28	7.059903912525342e-05	0.0003204972252352774	0	0	11.266336187471836	107.68920711673712	EEF1B2;DRAP1;SET;PCBP1;SF1
MSigDB_Computational	GNF2 RPA1	5/28	7.059903912525342e-05	0.0003188103977340391	0	0	11.266336187471836	107.68920711673712	SRSF1;HAT1;USP1;RPA1;ANP32E
MSigDB_Computational	MODULE 116	5/29	8.420685059806919e-05	0.00037826951734630033	0	0	10.877841836179702	102.05846055698272	ATP5B;ATP5A1;ATP5J;ATP5G3;ATP5H
MSigDB_Computational	MODULE 355	5/29	8.420685059806919e-05	0.0003762993636101217	0	0	10.877841836179702	102.05846055698272	HSP90AB1;CANX;CCT8;HSPE1;FKBP4
MSigDB_Computational	GNF2 H2AFX	5/31	0.00011739425060216258	0.0005218873938686813	0	0	10.176045588684238	92.09293400319343	RRM1;PCNA;RRM2;TYMS;MCM2
MSigDB_Computational	GCM TPR	5/32	0.00013734124937943745	0.0006074164534410171	0	0	9.858044164037857	87.66799938714148	KHDRBS1;DDX18;PSMD11;PCBP1;SF1
MSigDB_Computational	GNF2 DENR	6/51	0.00014943326550079938	0.0006575063682035172	0	0	7.422527370569679	65.38252476825267	KHDRBS1;SSB;HNRNPR;DENR;TARDBP;BCAS2
MSigDB_Computational	MODULE 392	4/18	0.0001589752975452882	0.0006959224759890678	0	0	14.020329477742727	122.63248130619357	NPM1;RAD51;MSH2;NCL
MSigDB_Computational	GNF2 SMC2L1	5/33	0.0001597816483905745	0.0006959017985741772	0	0	9.559315553006405	83.56469144763544	RFC3;RRM1;PCNA;MCM3;MCM6
MSigDB_Computational	MORF GMPS	6/53	0.00018550243099979625	0.0008038438676657836	0	0	7.142431998095352	61.370936760067565	UQCRC1;ATP5G3;CCT8;LMNB2;TUFM;SRSF9
MSigDB_Computational	MODULE 52	18/433	0.00020569015503463063	0.0008868449900488096	0	0	2.6227406182382467	22.264811303780228	YWHAE;RRM1;PCNA;RRM2;LSM1;AK2;PRPF19;LMNB2;UCK2;PSMA4;RPA3;HAT1;MCM3;RCC1;SNRPB2;MCM6;MAD2L1;MCM2
MSigDB_Computational	GNF2 ESPL1	5/35	0.00021296133455793754	0.0009136041252535519	0	0	9.013068949977468	76.20008955953166	PCNA;RRM2;MCM6;MAD2L1;ASF1B
MSigDB_Computational	MODULE 299	5/35	0.00021296133455793754	0.0009090588310980617	0	0	9.013068949977468	76.20008955953166	HSP90AB1;CANX;CCT8;HSPE1;FKBP4
MSigDB_Computational	GCM SMARCC1	5/37	0.0002786427455732871	0.0011835419589201995	0	0	8.525876033762469	69.78924101352578	DRAP1;KHDRBS1;DDX18;PCBP1;SF1
MSigDB_Computational	GNF2 TTK	5/39	0.0003586458877236158	0.0015158530623983367	0	0	8.08865162177465	64.16868916480607	GINS2;RRM1;PCNA;TYMS;MCM2
MSigDB_Computational	MODULE 105	11/200	0.00036421847010727844	0.0015318600360394354	0	0	3.470031545741325	27.47486544336129	GCSH;RRM1;PCNA;RRM2;MSH2;RPA1;SNRPB2;MRPL12;SRSF6;HSD17B10;MAD2L1
MSigDB_Computational	GNF2 CENPE	5/41	0.00045489412640339736	0.0019038983436786094	0	0	7.694083249980764	59.209401056497384	RFC3;RRM1;PCNA;RRM2;TYMS
MSigDB_Computational	MORF TERF1	6/65	0.0005693881482145626	0.002371529277515023	0	0	5.82382916767775	43.50952602486586	KHDRBS1;HNRNPUL1;NONO;TCEA1;HNRNPR;ILF2
MSigDB_Computational	MORF RAB6A	6/67	0.000669993597882599	0.002777074912962657	0	0	5.649983520881397	41.291449132392415	KHDRBS1;NONO;CANX;CLTA;TMED2;TCEA1
MSigDB_Computational	MODULE 93	10/182	0.0006735610212795769	0.002778439212778255	0	0	3.4665649807605643	25.316088199750013	NDUFB8;UQCRB;GPX4;IDH2;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2;COX7C;HSD17B10
MSigDB_Computational	MODULE 403	5/46	0.0007800499465986781	0.0032023103070893105	0	0	6.857769853243724	49.07524760821465	PCNA;MSH2;RPA1;MCM3;MCM6
MSigDB_Computational	GNF2 RBBP6	6/70	0.000846084922806088	0.003456861256036303	0	0	5.407841369986482	38.259887274421615	RPL5;FBL;DDX18;HDAC1;RPL22;TARDBP
MSigDB_Computational	MODULE 43	7/99	0.0010080765522426092	0.004099192804853833	0	0	4.4610139247363225	30.77970759501666	NDUFB8;IDH2;ATP5J;UQCRFS1;SUCLG1;ATP5G3;COX7C
MSigDB_Computational	MORF UBE2A	5/49	0.0010439795692616322	0.004225162596351323	0	0	6.4379063928410485	44.1943948972249	PSMB6;CANX;SARS;TBCB;UBA1
MSigDB_Computational	MORF PAPSS1	7/101	0.0011338677285446064	0.004567410850193767	0	0	4.3726770153356025	29.656023396210433	KHDRBS1;HDAC1;NONO;RPN1;CANX;TCEA1;NDUFC1
MSigDB_Computational	MODULE 177	7/101	0.0011338677285446064	0.004546067808837722	0	0	4.3726770153356025	29.656023396210433	RANBP1;UBE2I;CBX3;FAM53B;TMED2;DDOST;MCM2
MSigDB_Computational	MODULE 331	6/75	0.0012164576238306412	0.004854514610449722	0	0	5.047318611987381	33.87665479292125	MRPS36;ATPIF1;FAM53B;SRPRB;PFDN4;UCHL5
MSigDB_Computational	GNF2 CBFB	4/30	0.0012257937126135922	0.004869125025103992	0	0	8.412197686645637	56.39677574036964	KHDRBS1;PSMA1;HDAC1;NONO
MSigDB_Computational	MODULE 197	9/174	0.0018798572049551125	0.007432799455536805	0	0	3.2633525508539107	20.48262632384239	KHDRBS1;ACTL6A;MCM3;RCC1;HMGB1;YBX1;KIF22;MCM6;MAD2L1
MSigDB_Computational	MODULE 35	3/16	0.0018951126288642445	0.007458746034704228	0	0	11.829652996845427	74.15390781692113	LIG1;KARS;SARS
MSigDB_Computational	MODULE 110	3/16	0.0018951126288642445	0.007424687833632519	0	0	11.829652996845427	74.15390781692113	LIG1;KARS;SARS
MSigDB_Computational	GNF2 CDC20	5/56	0.0019111638466978477	0.0074535390021216045	0	0	5.633168093735918	35.263873809583714	RRM1;PCNA;RRM2;TYMS;MCM2
MSigDB_Computational	GNF2 CCNB2	5/57	0.0020681918128440968	0.008029450567512378	0	0	5.534340583319497	34.20820506841145	RRM1;PCNA;RRM2;TYMS;MCM2
MSigDB_Computational	MODULE 414	3/17	0.0022743803592252887	0.008790172739708547	0	0	11.133791055854518	67.76078270458179	ATP5B;ATP5A1;ATP5G3
MSigDB_Computational	MODULE 204	6/86	0.0024576760080403572	0.00945599109820012	0	0	4.4017313476634135	26.447974856158947	RRM1;PCNA;MSH2;PSMD13;MCM3;SF1
MSigDB_Computational	MORF XPC	5/62	0.002997705282079584	0.01148228183939412	0	0	5.088022794342119	29.560945298551626	PSMB4;CANX;SARS;UBA1;RAD23B
MSigDB_Computational	MORF PHB	7/123	0.0034895963685154427	0.013306994151938888	0	0	3.5905721833243565	20.31534683503218	PSMB6;DDX18;PSMD3;NUP62;RPA2;ILF2;CCT4
MSigDB_Computational	MODULE 332	4/45	0.005534363661096811	0.021010991244340985	0	0	5.60813179109709	29.144219759180373	RRM1;HMGB1;SRSF6;SRSF9
MSigDB_Computational	MODULE 82	3/24	0.006237755108991339	0.023577065566143474	0	0	7.886435331230284	40.04049621059749	UBE2I;UBE2D1;UBA2
MSigDB_Computational	GNF2 MBD4	3/25	0.0070062462101328354	0.02636561073813146	0	0	7.570977917981073	37.5592672207236	RPS8;RPL34;RPL22
MSigDB_Computational	MODULE 155	3/25	0.0070062462101328354	0.026250477066785908	0	0	7.570977917981073	37.5592672207236	HSPE1;KPNB1;CCT4
