,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000057414,0.117591941,0.999737975,1.246293761,phb,FALSE
ENSDARG00000054271,0.118374622,0.999737975,1.08157392,cdkn1bb,FALSE
ENSDARG00000086272,0.121775139,0.999737975,-0.570908284,si:dkey-4p15.5,FALSE
ENSDARG00000036161,0.124236619,0.999737975,-0.415183282,hnrnpa0l,FALSE
ENSDARG00000059128,0.126374645,0.999737975,0.931614838,uqcrh,FALSE
ENSDARG00000021124,0.126882954,0.999737975,-0.612373579,cfl1,FALSE
ENSDARG00000068436,0.12754961,0.999737975,-0.709195386,h3f3b.1,FALSE
ENSDARG00000055383,0.128004266,0.999737975,-1.568584619,zgc:66160,FALSE
ENSDARG00000104431,0.129094489,0.999737975,-0.688111487,slc1a3a,TRUE
ENSDARG00000008363,0.13079344,0.999737975,-0.670945575,mcl1b,FALSE
ENSDARG00000099148,0.131206558,0.999737975,-0.675946279,bzw1b,FALSE
ENSDARG00000046157,0.134806542,0.999737975,0.322114707,RPS17,FALSE
ENSDARG00000035400,0.135575934,0.999737975,0.45970582,btf3,FALSE
ENSDARG00000070155,0.136429797,0.999737975,-0.943098577,tuba8l3,FALSE
ENSDARG00000020298,0.137031827,0.999737975,-0.62439869,btg2,FALSE
ENSDARG00000014047,0.138758865,0.999737975,-0.726663172,cldn7b,FALSE
ENSDARG00000036675,0.139440736,0.999737975,0.855682469,hnrnpa1b,FALSE
ENSDARG00000013475,0.141774829,0.999737975,0.808846043,cct4,FALSE
ENSDARG00000028198,0.141933458,0.999737975,1.300193028,ube2v2,FALSE
ENSDARG00000055536,0.142486509,0.999737975,-1.241216195,otub1a,FALSE
ENSDARG00000044093,0.145071447,0.999737975,0.41065347,rpl13a,FALSE
ENSDARG00000077776,0.146257779,0.999737975,0.906332474,csnk2b,FALSE
ENSDARG00000051886,0.148712061,0.999737975,-1.360523391,ankrd11,FALSE
ENSDARG00000034291,0.148930231,0.999737975,0.194583782,rpl37,FALSE
ENSDARG00000025073,0.149545105,0.999737975,0.23271768,rpl18a,FALSE
ENSDARG00000021864,0.15048183,0.999737975,0.171495067,rplp1,FALSE
ENSDARG00000029252,0.150708196,0.999737975,-1.068429265,ssb,FALSE
ENSDARG00000038141,0.152217181,0.999737975,-0.498287684,atf4b,FALSE
ENSDARG00000093313,0.153599679,0.999737975,-0.637295488,ubb,FALSE
ENSDARG00000042874,0.1536832,0.999737975,-0.750923374,phlda2,FALSE
ENSDARG00000076568,0.154002584,0.999737975,-0.704614458,sec61b,FALSE
ENSDARG00000017741,0.157844824,0.999737975,-0.834940022,g3bp1,FALSE
ENSDARG00000021443,0.159556875,0.999737975,-0.644663786,zfp36l1b,FALSE
ENSDARG00000099195,0.162217975,0.999737975,-1.014847012,ier2,FALSE
ENSDARG00000038028,0.162450472,0.999737975,0.862110353,ndufa6,FALSE
ENSDARG00000006889,0.162592637,0.999737975,-0.960926196,mpped2a,FALSE
ENSDARG00000045017,0.163348721,0.999737975,-1.298989079,pdrg1,FALSE
ENSDARG00000042925,0.164383225,0.999737975,-0.892531937,mfng,TRUE
ENSDARG00000021582,0.164489786,0.999737975,0.917753573,dynlrb1,FALSE
ENSDARG00000074599,0.165019675,0.999737975,1.17309275,frmd4ba,FALSE
ENSDARG00000077934,0.165931458,0.999737975,-0.678363663,tegt,FALSE
ENSDARG00000020850,0.167533178,0.999737975,-0.191585519,eef1a1l1,FALSE
ENSDARG00000097797,0.167804574,0.999737975,-0.743161314,tomm6,FALSE
ENSDARG00000040764,0.168235467,0.999737975,-0.773566965,id1,FALSE
ENSDARG00000014329,0.168475734,0.999737975,0.725297105,npm1a,FALSE
ENSDARG00000011613,0.168929201,0.999737975,-0.977033293,rbm39a,FALSE
