,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000058179,0.799515072,0.999737975,-0.281730129,ackr3b,TRUE
ENSDARG00000071594,0.799740601,0.999737975,-0.686034598,TIMM21,FALSE
ENSDARG00000027978,0.799806502,0.999737975,-0.343482385,yy1b,FALSE
ENSDARG00000095086,0.799980371,0.999737975,0.468363525,cfdp1,FALSE
ENSDARG00000043182,0.800002558,0.999737975,0.450315412,hhla2a.1,FALSE
ENSDARG00000017803,0.800005588,0.999737975,-0.534508827,gsk3b,FALSE
ENSDARG00000036482,0.800033423,0.999737975,-0.503342411,hexim1,FALSE
ENSDARG00000087476,0.800062885,0.999737975,-0.105062751,cbln20,FALSE
ENSDARG00000045598,0.800354038,0.999737975,-0.627844367,si:dkey-180p18.9,FALSE
ENSDARG00000090337,0.800407587,0.999737975,0.210889714,pprc1,FALSE
ENSDARG00000104066,0.800453198,0.999737975,-0.239769305,dnaja2,FALSE
ENSDARG00000018907,0.800647705,0.999737975,0.521518015,kat6a,FALSE
ENSDARG00000019765,0.800697459,0.999737975,0.360018807,LUC7L2,FALSE
ENSDARG00000036684,0.801393749,0.999737975,-0.174810365,ndufa7,FALSE
ENSDARG00000069977,0.801588605,0.999737975,-0.171437114,myg1,FALSE
ENSDARG00000006301,0.801896785,0.999737975,-0.477658242,raph1a,FALSE
ENSDARG00000028894,0.801898592,0.999737975,0.413332364,mrgbp,FALSE
ENSDARG00000038876,0.801900694,0.999737975,-0.59786367,zgc:101569,FALSE
ENSDARG00000096767,0.801939035,0.999737975,-0.648896319,si:ch211-250m6.8,FALSE
ENSDARG00000021140,0.802036205,0.999737975,-0.279906723,pabpc1b,FALSE
ENSDARG00000037199,0.802146687,0.999737975,-0.675291601,zgc:101851,FALSE
ENSDARG00000068176,0.802282574,0.999737975,0.557294053,uqcc1,FALSE
ENSDARG00000022652,0.802419201,0.999737975,-0.680749745,psmf1,FALSE
ENSDARG00000070433,0.802518644,0.999737975,-0.686093292,vps18,FALSE
ENSDARG00000063910,0.802626673,0.999737975,-0.317820698,mt-atp8,FALSE
ENSDARG00000007863,0.802647837,0.999737975,-0.142661723,tra2a,FALSE
ENSDARG00000008551,0.80265298,0.999737975,-0.392228175,pole3,FALSE
ENSDARG00000014181,0.802704376,0.999737975,-0.680755648,foxp1b,FALSE
ENSDARG00000039892,0.802746646,0.999737975,-0.39230162,gnpnat1,FALSE
ENSDARG00000057853,0.802835341,0.999737975,0.182583426,atp6v0ca,FALSE
ENSDARG00000011247,0.802934926,0.999737975,-0.686102008,rnpc3,FALSE
ENSDARG00000018060,0.802948032,0.999737975,-0.651129085,pik3r2,FALSE
ENSDARG00000054746,0.802985882,0.999737975,-0.686103074,uggt1,FALSE
ENSDARG00000098443,0.802988675,0.999737975,-0.400311504,zfand6,FALSE
ENSDARG00000042747,0.803014799,0.999737975,-0.684971238,coasy,TRUE
ENSDARG00000079313,0.803210408,0.999737975,0.407392144,PELP1,FALSE
ENSDARG00000062962,0.80333723,0.999737975,-0.507178115,kmt2ba,FALSE
ENSDARG00000041203,0.803434139,0.999737975,0.145084117,drap1,FALSE
ENSDARG00000005500,0.803472909,0.999737975,-0.527571915,dgcr6,FALSE
ENSDARG00000057882,0.803529213,0.999737975,-0.168580034,arpc3,FALSE
ENSDARG00000074790,0.8035293,0.999737975,-0.289634755,c23h20orf24,FALSE
ENSDARG00000098679,0.803575691,0.999737975,-0.64888986,nup85,FALSE
ENSDARG00000058267,0.803624411,0.999737975,-0.632895605,glmna,FALSE
ENSDARG00000071082,0.803626474,0.999737975,-0.680774673,p4ha1b,FALSE
ENSDARG00000008803,0.803653801,0.999737975,-0.149019975,marcksb,FALSE
ENSDARG00000052427,0.803902381,0.999737975,-0.648888578,CCDC64B,FALSE
ENSDARG00000036316,0.803936381,0.999737975,0.050337293,rpl39,FALSE
ENSDARG00000014333,0.804024163,0.999737975,-0.435666163,ormdl1,FALSE
ENSDARG00000032708,0.804072269,0.999737975,-0.493715331,arl4cb,FALSE
ENSDARG00000101061,0.80409677,0.999737975,0.422284025,eif2a,FALSE
ENSDARG00000104760,0.804205801,0.999737975,-0.534676628,MAP3K6,FALSE
ENSDARG00000063636,0.804235203,0.999737975,-0.680787181,galnt11,FALSE
ENSDARG00000043361,0.804409391,0.999737975,-0.680790752,nck2b,FALSE
ENSDARG00000079717,0.804429083,0.999737975,-0.680791155,rbm12b,FALSE
ENSDARG00000103553,0.80455076,0.999737975,0.320046935,sf3b3,FALSE
ENSDARG00000057912,0.804579046,0.999737975,-0.125429481,eif1axb,FALSE
ENSDARG00000078653,0.804584599,0.999737975,0.271258477,ralbp1,FALSE
ENSDARG00000020467,0.804691693,0.999737975,0.538597958,safb,FALSE
ENSDARG00000070098,0.804703825,0.999737975,-0.675326333,lcorl,FALSE
ENSDARG00000030053,0.804766674,0.999737975,0.118478353,eef1db,FALSE
ENSDARG00000076807,0.804849085,0.999737975,-0.675328291,si:ch211-110e21.4,FALSE
ENSDARG00000067850,0.804871823,0.999737975,-0.513892747,jund,FALSE
ENSDARG00000040615,0.804979473,0.999737975,-0.652932924,ilkap,FALSE
ENSDARG00000022983,0.804994947,0.999737975,0.403875036,ccdc28a,FALSE
ENSDARG00000076317,0.805129647,0.999737975,0.581336357,plod3,FALSE
ENSDARG00000036092,0.805314367,0.999737975,0.406756324,sdhaf3,FALSE
ENSDARG00000046141,0.805406045,0.999737975,-0.479652378,zgc:162025,FALSE
ENSDARG00000074266,0.805444234,0.999737975,-0.509203848,si:ch1073-314i13.4,FALSE
ENSDARG00000022891,0.805540687,0.999737975,0.463252805,zgc:175214,FALSE
ENSDARG00000021021,0.805623373,0.999737975,-0.648881867,trim35-28,FALSE
ENSDARG00000086342,0.805728541,0.999737975,-0.648881459,zgc:101566,FALSE
ENSDARG00000099740,0.805913057,0.999737975,-0.675342581,klc2,FALSE
ENSDARG00000101560,0.80594183,0.999737975,-0.131392057,psma1,FALSE
ENSDARG00000100519,0.80594958,0.999737975,-0.385697905,spop,FALSE
ENSDARG00000005948,0.805984227,0.999737975,-0.675343534,ankmy2a,FALSE
ENSDARG00000092687,0.806000896,0.999737975,-0.675343757,si:ch211-130h14.6,FALSE
ENSDARG00000103127,0.806213315,0.999737975,-0.535113625,gpn2,FALSE
ENSDARG00000041944,0.806263002,0.999737975,0.499430065,adat2,FALSE
ENSDARG00000089626,0.806288036,0.999737975,-0.189509669,ptges3b,FALSE
ENSDARG00000059298,0.80641802,0.999737975,0.16690568,spcs1,FALSE
ENSDARG00000091124,0.806439639,0.999737975,0.319950324,rps19bp1,FALSE
ENSDARG00000059236,0.806527418,0.999737975,-0.526110629,ptger4a,FALSE
ENSDARG00000098838,0.806675722,0.999737975,-0.652930739,sdr42e1,FALSE
ENSDARG00000034344,0.806829752,0.999737975,-0.727320125,pcdh19,FALSE
ENSDARG00000006370,0.806877917,0.999737975,0.666017363,atp6v1h,FALSE
ENSDARG00000094821,0.806878926,0.999737975,-0.242456109,si:ch73-44m9.2,FALSE
ENSDARG00000071585,0.807042204,0.999737975,-0.647511851,si:dkeyp-110e4.11,FALSE
ENSDARG00000039757,0.807182887,0.999737975,0.471721896,mcfd2,FALSE
ENSDARG00000016084,0.807257671,0.999737975,-0.521308589,spsb4a,FALSE
ENSDARG00000001578,0.807322735,0.999737975,0.352031646,echs1,FALSE
ENSDARG00000019341,0.807540184,0.999737975,-0.290336159,gpc1a,FALSE
ENSDARG00000005791,0.807613102,0.999737975,0.053450161,rpl28,FALSE
ENSDARG00000043728,0.807765554,0.999737975,0.532229773,srek1ip1,FALSE
ENSDARG00000034605,0.807849587,0.999737975,-0.490201601,zgc:153169,FALSE
ENSDARG00000036754,0.807931384,0.999737975,-0.202895357,hmgn3,FALSE
ENSDARG00000052178,0.807958136,0.999737975,0.31346091,eif2s1b,FALSE
ENSDARG00000019941,0.808052134,0.999737975,0.228118006,sgta,FALSE
ENSDARG00000018476,0.808087307,0.999737975,-0.652928939,pak2b,FALSE
ENSDARG00000077732,0.808263648,0.999737975,-0.165158548,alyref,FALSE
ENSDARG00000036069,0.808272381,0.999737975,-0.481182563,ddx39b,FALSE
ENSDARG00000092807,0.808464306,0.999737975,-0.027924432,si:dkey-151g10.6,FALSE
ENSDARG00000102184,0.808467058,0.999737975,-0.627687828,mib1,TRUE
ENSDARG00000091001,0.808606165,0.999737975,-0.327247982,mycbp,FALSE
ENSDARG00000008703,0.808753599,0.999737975,-0.651110567,apeh,FALSE
ENSDARG00000017891,0.808779019,0.999737975,0.113116017,tcp1,FALSE
ENSDARG00000054154,0.808946081,0.999737975,0.482556095,bms1,FALSE
ENSDARG00000004174,0.808956666,0.999737975,-0.325948832,cnot1,FALSE
ENSDARG00000011597,0.809007911,0.999737975,-0.680883807,atxn2l,FALSE
ENSDARG00000032575,0.809079052,0.999737975,-0.163930617,ywhaz,FALSE
ENSDARG00000042533,0.809105684,0.999737975,0.215550678,gstm.1,FALSE
ENSDARG00000069099,0.809162085,0.999737975,-0.247976834,tmco1,FALSE
ENSDARG00000089372,0.809208034,0.999737975,0.635352258,clk4a,FALSE
ENSDARG00000067918,0.809221333,0.999737975,-0.507200108,elp5,FALSE
ENSDARG00000004261,0.809335474,0.999737975,0.190279687,tmed9,FALSE
ENSDARG00000036386,0.809409147,0.999737975,-0.341969197,rbm4.1,FALSE
ENSDARG00000014587,0.80944806,0.999737975,-0.411895179,slc38a5b,FALSE
ENSDARG00000063646,0.809660687,0.999737975,0.381173344,lnpa,FALSE
ENSDARG00000059079,0.809701498,0.999737975,-0.357366876,vps25,FALSE
ENSDARG00000053194,0.809937148,0.999737975,-0.409716281,pdzd11,FALSE
ENSDARG00000092204,0.8099602,0.999737975,-0.300903186,ms4a17a.5,FALSE
ENSDARG00000061845,0.809991805,0.999737975,-0.647496767,si:dkeyp-110e4.6,FALSE
ENSDARG00000040713,0.810210761,0.999737975,0.191012075,rbbp9,FALSE
ENSDARG00000010789,0.81042516,0.999737975,-0.468151404,homer3,FALSE
ENSDARG00000071567,0.810456653,0.999737975,0.185605251,TSTD1,FALSE
ENSDARG00000019496,0.810462371,0.999737975,-0.647494385,esd,FALSE
ENSDARG00000095947,0.810653292,0.999737975,0.314998811,adkb,FALSE
ENSDARG00000014498,0.810703174,0.999737975,-0.464026484,ythdf2,FALSE
ENSDARG00000022690,0.810810501,0.999737975,0.588171608,chic2,FALSE
ENSDARG00000003398,0.811370561,0.999737975,0.309774209,rbpja,FALSE
ENSDARG00000101628,0.811400095,0.999737975,0.709451665,ascl1b,FALSE
ENSDARG00000016233,0.811472173,0.999737975,-0.534957658,sdr16c5a,FALSE
ENSDARG00000026842,0.811495377,0.999737975,-0.345398553,acin1b,FALSE
ENSDARG00000006038,0.811556728,0.999737975,-0.289277577,aebp2,FALSE
ENSDARG00000029600,0.811753378,0.999737975,-0.65292434,wdr32,FALSE
ENSDARG00000029510,0.811804789,0.999737975,-0.297040036,timm17a,FALSE
ENSDARG00000038870,0.811946787,0.999737975,-0.511889471,slu7,FALSE
ENSDARG00000028523,0.812186039,0.999737975,0.309812058,inip,FALSE
ENSDARG00000101735,0.81232293,0.999737975,-0.652923635,chn1,FALSE
ENSDARG00000077469,0.812329425,0.999737975,-0.652923627,polr1b,FALSE
ENSDARG00000058893,0.81233658,0.999737975,-0.652923619,nhej1,FALSE
ENSDARG00000041878,0.812582557,0.999737975,0.395647168,rab11ba,FALSE
ENSDARG00000001880,0.812714278,0.999737975,-0.648854936,stx3a,FALSE
ENSDARG00000102512,0.812729284,0.999737975,-0.64885488,kdm8,FALSE
ENSDARG00000101082,0.812746447,0.999737975,0.180721666,eif3s6ip,FALSE
ENSDARG00000077815,0.812774484,0.999737975,-0.23407023,cdc26,FALSE
ENSDARG00000026072,0.813290586,0.999737975,0.191437298,pdcd5,FALSE
ENSDARG00000059303,0.813299276,0.999737975,0.252308743,hnrnpl2,FALSE
ENSDARG00000052344,0.813367226,0.999737975,-0.647479824,tbl3,FALSE
ENSDARG00000087927,0.813413294,0.999737975,-0.648852344,nudt9,FALSE
ENSDARG00000043740,0.813432,0.999737975,-0.648852275,efcab11,FALSE
ENSDARG00000004211,0.813450698,0.999737975,-0.647479409,ccdc106a,FALSE
ENSDARG00000044874,0.813458407,0.999737975,-0.648852177,zgc:92107,FALSE
ENSDARG00000077726,0.813470801,0.999737975,-0.648852131,nocta,FALSE
ENSDARG00000053561,0.813481695,0.999737975,-0.648852091,ms4a17a.11,FALSE
ENSDARG00000084991,0.813640673,0.999737975,-0.434714159,SNORA62,FALSE
ENSDARG00000043555,0.81370462,0.999737975,-0.437042129,tmem30ab,FALSE
ENSDARG00000001241,0.814016244,0.999737975,-0.172550621,puf60b,FALSE
ENSDARG00000087962,0.814224395,0.999737975,-0.507218189,rpap3,FALSE
ENSDARG00000099491,0.814406984,0.999737975,0.524133247,tmem176l.1,FALSE
ENSDARG00000062790,0.814510281,0.999737975,0.364071426,TACC2,FALSE
ENSDARG00000020679,0.814743013,0.999737975,-0.470619258,clpp,FALSE
ENSDARG00000099579,0.814784445,0.999737975,-0.62989518,aldh18a1,FALSE
ENSDARG00000044567,0.814867363,0.999737975,0.525589471,ttc1,FALSE
ENSDARG00000070119,0.815233352,0.999737975,-0.477095596,ctc1,FALSE
ENSDARG00000004754,0.815313444,0.999737975,-0.268319743,hspa4a,FALSE
ENSDARG00000098972,0.815348037,0.999737975,0.519466059,mrps16,FALSE
ENSDARG00000002967,0.815367346,0.999737975,0.258599203,pdap1b,FALSE
ENSDARG00000002591,0.815442141,0.999737975,-0.221946807,ruvbl1,FALSE
ENSDARG00000097547,0.815907696,0.999737975,-0.371461057,si:ch211-8i17.2,FALSE
ENSDARG00000092875,0.815907696,0.999737975,-0.371461057,si:dkey-264b2.3,FALSE
ENSDARG00000060580,0.815920514,0.999737975,-0.671153851,tasp1,FALSE
ENSDARG00000100428,0.815988084,0.999737975,0.288558694,BOLA2,FALSE
ENSDARG00000037188,0.816036785,0.999737975,-0.284197344,rpa2,FALSE
ENSDARG00000044938,0.816218877,0.999737975,-0.535134958,cbx2,FALSE
ENSDARG00000023672,0.816340632,0.999737975,-0.480627488,timm8a,FALSE
ENSDARG00000010051,0.816560932,0.999737975,-0.477489037,ufd1l,FALSE
ENSDARG00000076791,0.816692417,0.999737975,0.444902334,cdk13,FALSE
ENSDARG00000041397,0.816701944,0.999737975,-0.438637512,eif2b2,FALSE
ENSDARG00000017299,0.816904871,0.999737975,0.48444032,fabp11a,FALSE
ENSDARG00000056473,0.816967292,0.999737975,0.625428776,chaf1b,FALSE
ENSDARG00000075369,0.817034631,0.999737975,-0.336529143,nck1b,FALSE
ENSDARG00000036005,0.817064528,0.999737975,-0.241521152,pitpnb,FALSE
ENSDARG00000068820,0.817082835,0.999737975,0.139245106,h2afva,FALSE
ENSDARG00000043581,0.817334126,0.999737975,0.686768416,gadd45aa,FALSE
ENSDARG00000026664,0.817372072,0.999737975,-0.360626293,uri1,FALSE
ENSDARG00000016782,0.817383084,0.999737975,-0.502175284,huwe1,FALSE
ENSDARG00000045989,0.817481738,0.999737975,-0.627522256,arf4a,FALSE
ENSDARG00000015111,0.81754142,0.999737975,-0.12322458,ddx39ab,FALSE
ENSDARG00000003320,0.817666364,0.999737975,-0.68205018,fam91a1,FALSE
ENSDARG00000011196,0.817707556,0.999737975,-0.413939444,dnajc11a,FALSE
ENSDARG00000040861,0.817713417,0.999737975,0.478251299,tcf25,FALSE
ENSDARG00000045978,0.817852048,0.999737975,-0.392608964,chchd6b,FALSE
ENSDARG00000075349,0.817949853,0.999737975,0.28123593,si:ch73-138n13.1,FALSE
ENSDARG00000025549,0.817969578,0.999737975,-0.409010867,ndufaf1,FALSE
ENSDARG00000025081,0.818524122,0.999737975,-0.498023954,grnb,FALSE
ENSDARG00000045913,0.818550464,0.999737975,-0.232401546,mrps10,FALSE
ENSDARG00000019881,0.818588773,0.999737975,-0.139827755,bsg,FALSE
ENSDARG00000033175,0.818658494,0.999737975,-0.094922168,snrpe,FALSE
ENSDARG00000027200,0.818739849,0.999737975,-0.266089629,gabarapl2,FALSE
ENSDARG00000056862,0.818782382,0.999737975,-0.507234179,cep63,FALSE
ENSDARG00000020497,0.81885844,0.999737975,-0.260195772,rab7,FALSE
ENSDARG00000087277,0.819002648,0.999737975,-0.681077971,selj,FALSE
ENSDARG00000003899,0.819002648,0.999737975,-0.681077971,zdhhc23b,FALSE
ENSDARG00000042623,0.819002648,0.999737975,-0.681077971,acbd3,FALSE
ENSDARG00000052271,0.81913438,0.999737975,-0.535675204,slc22a18,FALSE
ENSDARG00000077967,0.819150387,0.999737975,0.332385517,ATP5J (1 to many),FALSE
ENSDARG00000019507,0.819158164,0.999737975,0.398897917,mcm5,TRUE
ENSDARG00000068156,0.819397585,0.999737975,0.455734186,chchd7,FALSE
ENSDARG00000015538,0.819417415,0.999737975,-0.627487845,znf207a,FALSE
ENSDARG00000035699,0.819470441,0.999737975,-0.312684755,srp19,FALSE
ENSDARG00000055751,0.819529523,0.999737975,-0.363004167,fosb,FALSE
ENSDARG00000042659,0.819538215,0.999737975,-0.67551797,thyn1,FALSE
ENSDARG00000101259,0.819609668,0.999737975,-0.514137078,hgh1,FALSE
ENSDARG00000045159,0.819611693,0.999737975,-0.228676571,zdhhc4,FALSE
ENSDARG00000041051,0.819624173,0.999737975,-0.463266178,mid1ip1a,FALSE
ENSDARG00000015851,0.819845289,0.999737975,-0.168376171,pnn,FALSE
ENSDARG00000032353,0.820014614,0.999737975,0.612870836,tiprl,FALSE
ENSDARG00000092787,0.820286739,0.999737975,-0.461744481,TMEM261,FALSE
ENSDARG00000024828,0.820363026,0.999737975,-0.344382975,tmem134,FALSE
ENSDARG00000078195,0.820453644,0.999737975,-0.675529254,fhit,FALSE
ENSDARG00000093546,0.820453644,0.999737975,-0.675529254,ms4a17a.2,FALSE
ENSDARG00000002016,0.820453644,0.999737975,-0.675529254,ppil2,FALSE
ENSDARG00000077130,0.820711297,0.999737975,-0.507240809,bcl10,FALSE
ENSDARG00000104647,0.821099295,0.999737975,-0.486781805,surf4,FALSE
ENSDARG00000031261,0.821111739,0.999737975,-0.347643402,sap30bp,FALSE
ENSDARG00000043663,0.821216208,0.999737975,0.182485442,faub,FALSE
ENSDARG00000105223,0.821503925,0.999737975,0.355860511,pmp22a,FALSE
ENSDARG00000055192,0.821504936,0.999737975,-0.509016887,zgc:136930,FALSE
ENSDARG00000055543,0.821511251,0.999737975,-0.456839397,appb,FALSE
ENSDARG00000045776,0.82152052,0.999737975,0.095936268,cnbpa,FALSE
ENSDARG00000059553,0.821528236,0.999737975,-0.357481234,sympk,FALSE
ENSDARG00000068367,0.821586465,0.999737975,-0.671198838,nfkbie,FALSE
ENSDARG00000027154,0.821904938,0.999737975,-0.507244872,tpd52l2a,FALSE
ENSDARG00000105465,0.82194861,0.999737975,-0.345198289,hnrnpa0a,FALSE
ENSDARG00000041215,0.821963224,0.999737975,-0.332003135,cetn4,FALSE
ENSDARG00000042401,0.822011865,0.999737975,0.357412607,derl2,FALSE
ENSDARG00000013741,0.822060508,0.999737975,0.4417011,lancl1,FALSE
ENSDARG00000036832,0.822269517,0.999737975,-0.387765294,cyt1l,FALSE
ENSDARG00000099614,0.822324786,0.999737975,0.34401949,purab,FALSE
ENSDARG00000014626,0.822352506,0.999737975,-0.478838108,dlx3b,FALSE
ENSDARG00000013333,0.822408196,0.999737975,0.220764728,ndufa10,FALSE
ENSDARG00000096689,0.822504072,0.999737975,-0.648819674,si:dkey-66i24.9,FALSE
ENSDARG00000041170,0.822648471,0.999737975,-0.547009477,aagab,FALSE
ENSDARG00000037378,0.82276706,0.999737975,-0.632990848,qdprb1,FALSE
ENSDARG00000032606,0.822835582,0.999737975,-0.499100134,sept8a,FALSE
ENSDARG00000013839,0.823405262,0.999737975,-0.252028906,aldh3b1,FALSE
ENSDARG00000018328,0.823456677,0.999737975,-0.450313755,rhocb,FALSE
ENSDARG00000070743,0.823529366,0.999737975,-0.480638704,tmem45a,FALSE
ENSDARG00000024954,0.823929604,0.999737975,-0.49900116,tmed4,FALSE
ENSDARG00000045676,0.824163725,0.999737975,0.64692944,calua,FALSE
ENSDARG00000096849,0.824221199,0.999737975,0.592693305,si:dkey-16p21.8,FALSE
ENSDARG00000026634,0.824344921,0.999737975,-0.45585541,ehmt1b,FALSE
ENSDARG00000043644,0.824539467,0.999737975,-0.408919103,vkorc1l1,FALSE
ENSDARG00000053979,0.824719249,0.999737975,0.141917238,bc2,FALSE
ENSDARG00000063574,0.824866713,0.999737975,-0.535445366,mtg2,FALSE
ENSDARG00000036625,0.82509869,0.999737975,-0.1555358,polr2f,FALSE
ENSDARG00000056181,0.825099046,0.999737975,-0.633001823,ncam1a,FALSE
ENSDARG00000016514,0.825238424,0.999737975,0.596687929,gtf2h2,FALSE
ENSDARG00000006392,0.825375449,0.999737975,0.483548294,exosc9,FALSE
ENSDARG00000002391,0.82540906,0.999737975,-0.533764914,tlcd1,FALSE
ENSDARG00000090191,0.825417944,0.999737975,-0.544173567,PSMG4,FALSE
ENSDARG00000077499,0.825425749,0.999737975,0.395566823,plekho1b,FALSE
ENSDARG00000101831,0.825608368,0.999737975,-0.546598117,irx1a,FALSE
ENSDARG00000040295,0.825717377,0.999737975,-0.633004711,apoeb,FALSE
ENSDARG00000037647,0.825721575,0.999737975,0.58571935,rnf175,FALSE
ENSDARG00000099709,0.825776286,0.999737975,-0.173951688,rhoac,FALSE
ENSDARG00000003520,0.825972903,0.999737975,-0.247107679,tbc1d14,FALSE
ENSDARG00000015126,0.825985012,0.999737975,0.367032871,gorasp2,FALSE
ENSDARG00000017841,0.826046497,0.999737975,-0.497980708,cand1,FALSE
ENSDARG00000057683,0.826119718,0.999737975,-0.156127296,mcm6,FALSE
ENSDARG00000040725,0.826278349,0.999737975,-0.189492065,zgc:114130,FALSE
ENSDARG00000013075,0.826331668,0.999737975,0.304896392,mrpl11,FALSE
ENSDARG00000105456,0.826343429,0.999737975,-0.653036486,si:zfos-800b6.1,FALSE
ENSDARG00000077095,0.826356643,0.999737975,-0.355901223,HIPK1 (1 to many),FALSE
ENSDARG00000029036,0.826375441,0.999737975,-0.652907135,rab32a,FALSE
ENSDARG00000000966,0.826375441,0.999737975,-0.652907135,ncor2,FALSE
ENSDARG00000019338,0.826375441,0.999737975,-0.652907135,adprhl2,FALSE
ENSDARG00000001754,0.826605587,0.999737975,-0.216624298,noc2l,FALSE
ENSDARG00000002613,0.82677094,0.999737975,-0.192066497,rpa3,TRUE
ENSDARG00000104413,0.826948263,0.999737975,-0.507261708,rogdi,FALSE
ENSDARG00000069521,0.827233622,0.999737975,0.299274846,vps29,FALSE
ENSDARG00000089382,0.827908977,0.999737975,0.240603836,zgc:158463,FALSE
ENSDARG00000100331,0.82799472,0.999737975,0.487569448,SMIM10,FALSE
ENSDARG00000061173,0.827998118,0.999737975,0.479586884,st14a,FALSE
ENSDARG00000045804,0.828029639,0.999737975,0.577597658,abhd2b,FALSE
ENSDARG00000040076,0.828172725,0.999737975,-0.361714151,pycard,FALSE
ENSDARG00000087394,0.82819425,0.999737975,-0.497968761,tshz3a,FALSE
ENSDARG00000100206,0.828228303,0.999737975,-0.363172469,klhdc4,FALSE
ENSDARG00000003584,0.828406474,0.999737975,0.515047089,pla2g7,FALSE
ENSDARG00000062756,0.828542107,0.999737975,0.585176798,pllp,TRUE
ENSDARG00000035625,0.828558172,0.999737975,-0.275406448,snrnp27,FALSE
ENSDARG00000077326,0.828559614,0.999737975,-0.633017866,slc45a4,FALSE
ENSDARG00000101900,0.828946628,0.999737975,0.279699697,xrn2,FALSE
ENSDARG00000096651,0.829026188,0.999737975,-0.504168652,gpr108,FALSE
ENSDARG00000039436,0.829236151,0.999737975,-0.396268421,il13ra2,FALSE
ENSDARG00000097973,0.829251959,0.999737975,-0.507269222,si:ch1073-190k2.1,FALSE
ENSDARG00000069056,0.829264536,0.999737975,-0.393980517,ranbp3b,FALSE
ENSDARG00000008678,0.829521683,0.999737975,-0.25067064,snx3,FALSE
ENSDARG00000017696,0.829649633,0.999737975,-0.370798843,diexf,FALSE
ENSDARG00000040184,0.829677737,0.999737975,0.097457371,syncrip,FALSE
ENSDARG00000015989,0.82972518,0.999737975,0.411739714,zdhhc16b,FALSE
ENSDARG00000045308,0.829837251,0.999737975,-0.623791193,pola1,FALSE
ENSDARG00000074301,0.830140501,0.999737975,-0.202592319,cth,FALSE
ENSDARG00000045888,0.830196811,0.999737975,0.486555503,acat1,FALSE
ENSDARG00000006566,0.830226124,0.999737975,0.459090473,nlk1,FALSE
ENSDARG00000002305,0.830270625,0.999737975,-0.623783162,me3,FALSE
ENSDARG00000089413,0.830284265,0.999737975,0.386466663,mbpb,FALSE
ENSDARG00000009753,0.830324566,0.999737975,-0.150489992,sf3b6,FALSE
ENSDARG00000003695,0.830427177,0.999737975,0.493735146,vdac3,FALSE
ENSDARG00000078691,0.830543725,0.999737975,-0.507273388,gigyf1,FALSE
ENSDARG00000060494,0.830561574,0.999737975,-0.630806829,eprs,FALSE
ENSDARG00000018600,0.831121127,0.999737975,0.471360888,retsat,FALSE
ENSDARG00000014366,0.831132481,0.999737975,0.212447982,luc7l3,FALSE
ENSDARG00000030335,0.831133568,0.999737975,-0.53566025,zc3h10,FALSE
ENSDARG00000070601,0.831237495,0.999737975,0.568878987,RASSF5,TRUE
ENSDARG00000043453,0.831267014,0.999737975,-0.042631345,rps5,FALSE
ENSDARG00000056167,0.83137289,0.999737975,-0.116701887,hspe1,FALSE
ENSDARG00000023160,0.831420257,0.999737975,-0.451107359,snrnp40,FALSE
ENSDARG00000093606,0.831482911,0.999737975,-0.057342991,RPS11 (1 to many),FALSE
ENSDARG00000008020,0.831535227,0.999737975,-0.428946944,med31,FALSE
ENSDARG00000089307,0.831628057,0.999737975,-0.633031849,pmaip1,FALSE
ENSDARG00000096616,0.831628057,0.999737975,-0.633031849,si:ch211-255p10.3,TRUE
ENSDARG00000062315,0.831628057,0.999737975,-0.633031849,sik2b,FALSE
ENSDARG00000063295,0.831628057,0.999737975,-0.633031849,myh9a,FALSE
ENSDARG00000058147,0.831628057,0.999737975,-0.633031849,dnajc5b,TRUE
ENSDARG00000063438,0.831628057,0.999737975,-0.633031849,srebf2,FALSE
ENSDARG00000056783,0.831628057,0.999737975,-0.633031849,raraa,FALSE
ENSDARG00000086309,0.831628057,0.999737975,-0.633031849,erlec1,FALSE
ENSDARG00000032272,0.831628057,0.999737975,-0.633031849,sat1b,FALSE
ENSDARG00000093449,0.831628057,0.999737975,-0.633031849,si:dkey-189o20.1,FALSE
ENSDARG00000036772,0.831628057,0.999737975,-0.633031849,pygo2,FALSE
ENSDARG00000091465,0.831628057,0.999737975,-0.633031849,si:dkey-66a8.7,FALSE
ENSDARG00000044597,0.831628057,0.999737975,-0.633031849,ncbp3,FALSE
ENSDARG00000022918,0.831628057,0.999737975,-0.633031849,tbcc,FALSE
ENSDARG00000040157,0.831628057,0.999737975,-0.633031849,glt8d1,FALSE
ENSDARG00000094085,0.831628057,0.999737975,-0.633031849,si:dkeyp-79c2.1,FALSE
ENSDARG00000036685,0.831628057,0.999737975,-0.633031849,ccnt2a,FALSE
ENSDARG00000040152,0.831628057,0.999737975,-0.633031849,nek4,FALSE
ENSDARG00000078973,0.831628057,0.999737975,-0.633031849,uckl1b,FALSE
ENSDARG00000101479,0.831628057,0.999737975,-0.633031849,BX908782.3,FALSE
ENSDARG00000040380,0.831628057,0.999737975,-0.633031849,arhgef1a,FALSE
ENSDARG00000101029,0.831628057,0.999737975,-0.633031849,si:ch73-347e22.4,FALSE
ENSDARG00000103497,0.831628057,0.999737975,-0.633031849,si:dkey-246j6.3,FALSE
